node_id,parent_id,type,name,maps_to_function
R-D1-06-05,C-D1-06,Requirement,管理端查询/解绑用户 OAuth 绑定,F-1027
C-D1-07,N-D1,Capability,Passkey/WebAuthn,
R-D1-07-01,C-D1-07,Requirement,Passkey 注册,F-1028
R-D1-07-02,C-D1-07,Requirement,Passkey 登录,F-1029
R-D1-07-03,C-D1-07,Requirement,Passkey 二次验证,F-1030
R-D1-07-04,C-D1-07,Requirement,Passkey 删除/查询状态,F-1031
R-D1-07-05,C-D1-07,Requirement,管理端重置用户 Passkey,F-1032
C-D1-08,N-D1,Capability,2FA 双因子与二次验证,
R-D1-08-01,C-D1-08,Requirement,2FA 启用流程,F-1033
R-D1-08-02,C-D1-08,Requirement,2FA 关闭,F-1034
R-D1-08-03,C-D1-08,Requirement,2FA 备份码生成,F-1035
R-D1-08-04,C-D1-08,Requirement,2FA 登录校验,F-1036
R-D1-08-05,C-D1-08,Requirement,管理端 2FA 统计与禁用,F-1037
R-D1-08-06,C-D1-08,Requirement,通用敏感动作二次验证,F-1038
C-D2-01,N-D2,Capability,每日签到与奖励发放,
R-D2-01-01,C-D2-01,Requirement,每日签到领取随机额度,F-1046
R-D2-01-02,C-D2-01,Requirement,签到状态与本月记录查询,F-1047
R-D2-01-03,C-D2-01,Requirement,签到防重复,F-1048
C-D2-02,N-D2,Capability,签到配置与防刷,
R-D2-02-01,C-D2-02,Requirement,签到开关与额度区间配置,F-1049
R-D2-02-02,C-D2-02,Requirement,签到人机校验,F-1050
C-D3-01,N-D3,Capability,邀请码与归因,
R-D3-01-01,C-D3-01,Requirement,获取个人邀请码,F-1039
R-D3-01-02,C-D3-01,Requirement,邮箱注册邀请码归因,F-1040
R-D3-01-03,C-D3-01,Requirement,OAuth 注册邀请码归因,F-1041
C-D3-02,N-D3,Capability,返利奖励与额度划转,
R-D3-02-01,C-D3-02,Requirement,邀请人奖励发放,F-1042
R-D3-02-02,C-D3-02,Requirement,新用户邀请奖励,F-1043
R-D3-02-03,C-D3-02,Requirement,邀请额度划转为可用额度,F-1044
R-D3-02-04,C-D3-02,Requirement,邀请统计展示,F-1045
C-D4-01,N-D4,Capability,Telegram 登录与绑定,
R-D4-01-01,C-D4-01,Requirement,Telegram 登录,F-1051
R-D4-01-02,C-D4-01,Requirement,Telegram 绑定到现有账号,F-1052
C-D4-02,N-D4,Capability,Telegram Widget 安全校验,
R-D4-02-01,C-D4-02,Requirement,Telegram Login Widget HMAC 防伪,F-1053
R-D4-02-02,C-D4-02,Requirement,Telegram 绑定唯一性校验,F-1054
N-D5,,domain,D5 异步任务中心,
N-D5-1,N-D5,group,任务记录与状态机,
N-D5-1-1,N-D5-1,function,通用异步任务记录写入与状态机流转,F-2001
N-D5-1-2,N-D5-1,function,任务状态 CAS 条件更新,F-2002
N-D5-1-3,N-D5-1,function,扫描超时未完成任务,F-2011
N-D5-2,N-D5,group,任务查询与列表,
N-D5-2-1,N-D5-2,function,用户任务列表分页与过滤,F-2003
N-D5-2-2,N-D5-2,function,管理端全量任务列表,F-2004
N-D5-3,N-D5,group,任务提交(各平台),
N-D5-3-1,N-D5-3,function,Midjourney 绘图任务提交,F-2005
N-D5-3-2,N-D5-3,function,MJ 任务按 ID/条件拉取,F-2006
N-D5-3-3,N-D5-3,function,Suno 音乐/歌词任务提交查询,F-2007
N-D5-3-4,N-D5-3,function,视频生成任务提交,F-2008
N-D5-4,N-D5,group,任务计费与产物,
N-D5-4-1,N-D5-4,function,任务异步退款与差额结算,F-2009
N-D5-4-2,N-D5-4,function,任务结果产物展示,F-2010
N-D6,,domain,D6 预填分组,
N-D6-1,N-D6,group,预填分组管理,
N-D6-1-1,N-D6-1,function,预填分组创建,F-2012
N-D6-1-2,N-D6-1,function,预填分组更新与查重,F-2013
N-D6-1-3,N-D6-1,function,预填分组下拉填充,F-2014
N-D6-1-4,N-D6-1,function,预填分组软删除,F-2015
N-D7,,domain,D7 渠道管理与上游路由,
N-D7-1,N-D7,group,渠道生命周期管理,
N-D7-1-1,N-D7-1,function,渠道 CRUD/搜索/批量,F-2016
N-D7-1-2,N-D7-1,function,渠道连通性测试,F-2017
N-D7-1-3,N-D7-1,function,渠道上游余额查询更新,F-2018
N-D7-1-4,N-D7-1,function,按 tag 批量启停渠道,F-2019
N-D7-1-5,N-D7-1,function,上游模型探测与同步,F-2026
N-D7-1-6,N-D7-1,function,Ollama 模型管理,F-2027
N-D7-2,N-D7,group,渠道转发配置,
N-D7-2-1,N-D7-2,function,多 Key 模式管理,F-2020
N-D7-2-2,N-D7-2,function,模型映射/重定向,F-2021
N-D7-2-3,N-D7-2,function,状态码映射,F-2022
N-D7-2-4,N-D7-2,function,参数/请求头覆写,F-2025
N-D7-3,N-D7,group,路由选择与健康,
N-D7-3-1,N-D7-3,function,优先级+权重随机路由,F-2028
N-D7-3-2,N-D7-3,function,渠道自动禁用,F-2023
N-D7-3-3,N-D7-3,function,渠道自动恢复,F-2024
N-D8,,domain,D8 计费与额度,
N-D8-1,N-D8,group,计费引擎,
N-D8-1-1,N-D8-1,function,倍率计费,F-2038
N-D8-1-2,N-D8-1,function,缓存倍率计费,F-2039
N-D8-1-3,N-D8-1,function,表达式/阶梯计费,F-2040
N-D8-1-4,N-D8-1,function,阶梯计费结算,F-2041
N-D8-1-5,N-D8-1,function,预扣额度与多退少不补,F-2042
N-D8-1-6,N-D8-1,function,倍率配置管理与同步,F-2043
N-D8-2,N-D8,group,充值/兑换/订阅,
N-D8-2-1,N-D8-2,function,充值与余额查询,F-2044
N-D8-2-2,N-D8-2,function,兑换码,F-2045
N-D8-2-3,N-D8-2,function,订阅计划与订单,F-2046
N-D8-2-4,N-D8-2,function,订阅预扣/退款记录,F-2047
N-D8-3,N-D8,group,价格暴露,
N-D8-3-1,N-D8-3,function,公开价格页/模型价格暴露,F-2048
N-D9,,domain,D9 亲和缓存,
N-D9-1,N-D9,group,亲和键与粘连,
N-D9-1-1,N-D9-1,function,会话亲和键提取与渠道粘连,F-2029
N-D9-1-2,N-D9-1,function,内置 codex/claude header 透传模板,F-2030
N-D9-1-3,N-D9-1,function,亲和命中跳过重试,F-2034
N-D9-2,N-D9,group,亲和缓存运维,
N-D9-2-1,N-D9-2,function,亲和缓存策略配置,F-2031
N-D9-2-2,N-D9-2,function,清空亲和缓存,F-2032
N-D9-2-3,N-D9-2,function,亲和缓存用量统计查询,F-2033
N-D10,,domain,D10 跨分组重试,
N-D10-1,N-D10,group,跨分组重试策略,
N-D10-1-1,N-D10-1,function,auto 分组逐组耗尽切组重试,F-2035
N-D10-1-2,N-D10-1,function,令牌级跨分组重试开关,F-2036
N-D10-1-3,N-D10-1,function,全局重试次数配置,F-2037
M-301,,Module,令牌管理,
C-3011,M-301,Capability,令牌生命周期管理,
R-3001,C-3011,Requirement,创建令牌（生成唯一明文 key + 校验额度区间与令牌数量上限）,F-3001
R-3002,C-3011,Requirement,令牌列表分页查询（key 自动打码）,F-3002
R-3003,C-3011,Requirement,令牌关键词/前缀搜索（SQL LIKE 注入防护 + 强制截断）,F-3003
R-3006,C-3011,Requirement,更新令牌（含仅改状态 status_only 与启用前合法性校验）,F-3006
R-3007,C-3011,Requirement,删除令牌 / 批量删除令牌,F-3007
C-3012,M-301,Capability,令牌密钥访问,
R-3004,C-3012,Requirement,获取单个令牌明文 key（限流 + 禁缓存保护）,F-3004
R-3005,C-3012,Requirement,批量获取令牌明文 key（数量上限 100）,F-3005
C-3013,M-301,Capability,令牌额度与访问策略,
R-3008,C-3013,Requirement,令牌额度与过期时间管理（无限额度 / -1 永不过期）,F-3008
R-3009,C-3013,Requirement,令牌模型白名单（ModelLimits 开关 + 列表）,F-3009
R-3010,C-3013,Requirement,令牌 IP 白名单（AllowIps 多行解析）,F-3010
R-3011,C-3013,Requirement,令牌按分组绑定（Group + 跨分组重试开关）,F-3011
C-3014,M-301,Capability,令牌用量查询,
R-3012,C-3014,Requirement,令牌用量查询（OpenAI 兼容 credit_summary / token_usage）,F-3012
M-302,,Module,模型广场,
C-3021,M-302,Capability,模型元数据管理,
R-3013,C-3021,Requirement,模型元数据列表（分页 + 供应商计数填充）,F-3013
R-3014,C-3021,Requirement,模型元数据搜索（关键词 + 供应商过滤）,F-3014
R-3015,C-3021,Requirement,模型元数据创建（名称查重 + 刷新定价）,F-3015
R-3016,C-3021,Requirement,模型元数据更新（全量更新 / 仅状态 status_only）,F-3016
R-3017,C-3021,Requirement,模型元数据删除（刷新定价）,F-3017
C-3022,M-302,Capability,供应商元数据管理,
R-3018,C-3022,Requirement,供应商元数据 CRUD（名称唯一约束）,F-3018
C-3023,M-302,Capability,上游模型同步,
R-3019,C-3023,Requirement,上游模型同步执行（拉取 basellm 元数据创建缺失模型 + 可选字段覆盖）,F-3019
R-3020,C-3023,Requirement,上游模型同步预览（差异对比不落库）,F-3020
R-3021,C-3023,Requirement,缺失模型检测（渠道引用但无元数据的模型）,F-3021
C-3024,M-302,Capability,模型展示与排行,
R-3022,C-3024,Requirement,模型排行榜（公开 period 维度快照）,F-3022
R-3023,C-3024,Requirement,公开价格页（按用户可用分组过滤定价 + 分组倍率）,F-3023
R-3024,C-3024,Requirement,模型广场（DashboardListModels 渠道到模型映射）,F-3024
R-3025,C-3024,Requirement,用户可见模型列表（按用户分组聚合去重）,F-3025
M-303,,Module,Relay网关,
C-3031,M-303,Capability,OpenAI 兼容端点中转,
R-3026,C-3031,Requirement,OpenAI 兼容 chat/completions 与 completions 中转,F-3026
R-3027,C-3031,Requirement,embeddings 中转（含后缀匹配兼容）,F-3027
R-3028,C-3031,Requirement,images 中转（generations/edits，variations 未实现）,F-3028
R-3029,C-3031,Requirement,audio 中转（speech/transcription/translation 统一格式）,F-3029
R-3030,C-3031,Requirement,moderations 内容审核中转,F-3030
R-3031,C-3031,Requirement,rerank 重排序中转,F-3031
R-3032,C-3031,Requirement,responses 中转（含 compact 紧凑变体）,F-3032
R-3057,C-3031,Requirement,edits 中转（legacy /v1/edits 编辑端点）,F-3057
C-3032,M-303,Capability,原生协议中转,
R-3033,C-3032,Requirement,realtime WebSocket 实时中转,F-3033
R-3034,C-3032,Requirement,Gemini 原生协议中转（/v1beta/models/*）,F-3034
R-3035,C-3032,Requirement,Claude 原生协议中转（/v1/messages）,F-3035
R-3036,C-3032,Requirement,各厂商原生协议适配（37 个 provider adapter 转换）,F-3036
C-3033,M-303,Capability,错误处理与内容代理,
R-3037,C-3033,Requirement,Relay 统一错误处理与渠道自动禁用（按状态码重试/禁用）,F-3037
M-304,,Module,部署管理,
C-3041,M-304,Capability,io.net 集成配置,
R-3039,C-3041,Requirement,io.net 部署集成开关与设置查询,F-3039
R-3040,C-3041,Requirement,io.net 连接测试（校验 api_key + 返回硬件可用量）,F-3040
C-3042,M-304,Capability,部署生命周期管理,
R-3041,C-3042,Requirement,部署列表查询与状态计数（分页 + 状态聚合）,F-3041
R-3042,C-3042,Requirement,部署搜索（按状态过滤 + 名称关键词本地过滤）,F-3042
R-3043,C-3042,Requirement,部署详情查询（GPU/容器/计算分钟/地域）,F-3043
R-3044,C-3042,Requirement,创建部署（DeployContainer 下发容器）,F-3044
R-3045,C-3042,Requirement,部署更新（UpdateDeployment 配置变更）,F-3045
R-3046,C-3042,Requirement,部署重命名（名称可用性预检）,F-3046
R-3047,C-3042,Requirement,部署续期（ExtendDeployment 延长计算时长）,F-3047
R-3048,C-3042,Requirement,删除部署（请求终止）,F-3048
C-3043,M-304,Capability,部署资源查询,
R-3049,C-3043,Requirement,硬件类型查询（含总可用量统计）,F-3049
R-3050,C-3043,Requirement,部署地域查询,F-3050
R-3051,C-3043,Requirement,可用副本查询（按硬件 ID + GPU 数）,F-3051
R-3052,C-3043,Requirement,部署价格预估,F-3052
R-3053,C-3043,Requirement,集群名称可用性查询,F-3053
C-3044,M-304,Capability,容器监控,
R-3054,C-3044,Requirement,部署容器列表（含容器事件）,F-3054
R-3055,C-3044,Requirement,容器详情查询,F-3055
R-3056,C-3044,Requirement,容器日志查询（按级别/流/游标分页 + 时间范围）,F-3056
N-4000,,Module,日志/用量/审计与运营运维,
N-4100,N-4000,Module,日志与用量审计(D15),
N-4110,N-4100,Capability,日志查询与维护,
N-4111,N-4110,Requirement,管理端全量日志过滤分页查询,F-4001
N-4112,N-4110,Requirement,用户自助本人日志查询,F-4002
N-4113,N-4110,Requirement,按令牌 key 查消费日志,F-4003
N-4114,N-4110,Requirement,清理历史日志(分批上限100),F-4006
N-4120,N-4100,Capability,日志统计,
N-4121,N-4120,Requirement,管理端消费日志 quota/rpm/tpm 统计,F-4004
N-4122,N-4120,Requirement,用户自助日志统计,F-4005
N-4130,N-4100,Capability,配额按日用量数据,
N-4131,N-4130,Requirement,管理端配额按日数据查询,F-4007
N-4132,N-4130,Requirement,配额按用户聚合查询,F-4008
N-4133,N-4130,Requirement,用户自助配额按日数据(1月跨度限制),F-4009
N-4134,N-4130,Requirement,模型用量排行榜快照,F-4010
N-4140,N-4100,Capability,操作审计,
N-4141,N-4140,Requirement,管理/高危操作审计记录,F-4011
N-4142,N-4140,Requirement,用户安全敏感操作审计,F-4012
N-4143,N-4140,Requirement,登录审计记录,F-4013
N-4144,N-4140,Requirement,亲和缓存用量统计查询,F-4014
N-4200,N-4000,Module,运营系统设置与运维(D16),
N-4210,N-4200,Capability,系统初始化,
N-4211,N-4210,Requirement,初始化状态查询,F-4015
N-4212,N-4210,Requirement,初始化提交创建 root 与模式,F-4016
N-4220,N-4200,Capability,全站选项配置,
N-4221,N-4220,Requirement,选项列表查询(剔除敏感键),F-4017
N-4222,N-4220,Requirement,选项更新(逐键校验+审计),F-4018
N-4230,N-4200,Capability,性能与日志文件运维,
N-4231,N-4230,Requirement,性能统计查询,F-4019
N-4232,N-4230,Requirement,清理不活跃磁盘缓存,F-4020
N-4233,N-4230,Requirement,强制GC与重置统计,F-4021
N-4234,N-4230,Requirement,日志文件列表查询,F-4022
N-4235,N-4230,Requirement,清理过期日志文件,F-4023
N-4240,N-4200,Capability,性能指标暴露,
N-4241,N-4240,Requirement,性能指标汇总查询(公开),F-4024
N-4242,N-4240,Requirement,单模型性能指标查询,F-4025
N-4243,N-4240,Requirement,Uptime-Kuma 状态接入,F-4026
N-4250,N-4200,Capability,内容与法务页配置,
N-4251,N-4250,Requirement,用户协议公开读取,F-4027
N-4252,N-4250,Requirement,隐私政策公开读取,F-4028
N-4253,N-4250,Requirement,公告/关于/首页内容读取,F-4029
N-4260,N-4200,Capability,合规与迁移,
N-4261,N-4260,Requirement,支付合规声明确认,F-4030
N-4262,N-4260,Requirement,控制台旧设置迁移,F-4031
N-4270,N-4200,Capability,限流/内容安全/分组/主题/语言配置,
N-4271,N-4270,Requirement,模型请求限流分组配置,F-4032
N-4272,N-4270,Requirement,敏感词内容过滤配置,F-4033
N-4273,N-4270,Requirement,可用分组与自动分组配置,F-4034
N-4274,N-4270,Requirement,前端主题切换配置,F-4035
N-4275,N-4270,Requirement,后端多语言解析与切换,F-4036
N-4280,N-4200,Capability,通知配置,
N-4281,N-4280,Requirement,额度预警通知配置(email/webhook/bark),F-4037
N-4300,N-4000,Module,Playground 在线试用(D17),
N-4310,N-4300,Capability,站内对话试用,
N-4311,N-4310,Requirement,Playground 对话(临时令牌走relay),F-4038
N-4400,N-4000,Module,公开站点(营销/法务/入口),
N-4410,N-4400,Capability,营销与首页入口,
N-4411,N-4410,Requirement,营销首页公开状态聚合,F-4039
N-4412,N-4410,Requirement,首页对话框 Playground 入口,F-4040
N-4420,N-4400,Capability,法务公开页,
N-4421,N-4420,Requirement,用户协议公开页,F-4041
N-4422,N-4420,Requirement,隐私政策公开页,F-4042
N-4430,N-4400,Capability,公开控件与控制台入口,
N-4431,N-4430,Requirement,公开主题/语言切换控件,F-4043
N-4432,N-4430,Requirement,控制台/模型广场/API Keys 主入口(GAP),F-4044
N-4500,N-4000,Module,渠道运维与视频代理(评审补回),
N-4510,N-4500,Capability,Codex 渠道运维,
N-4511,N-4510,Requirement,Codex 渠道上游用量查询(自动刷新token),F-4045
N-4520,N-4500,Capability,视频内容代理,
N-4521,N-4520,Requirement,生成视频内容网关代理下发(含Gemini分支),F-4046
N-5000,,NFR,横切维度根(NFR/合规/RBAC),
N-5100,N-5000,NFR,性能Performance,
N-5101,N-5100,NFR,网关附加延迟与转发开销,F-5001
N-5102,N-5100,NFR,吞吐与并发压测门禁,F-5002
N-5103,N-5100,NFR,选渠决策开销,F-5001
N-5104,N-5100,NFR,预扣结算与计费表达式开销,F-5001
N-5200,N-5000,NFR,可用性Availability,
N-5201,N-5200,NFR,渠道降级与健康度看板,F-5003
N-5202,N-5200,NFR,跨分组重试与AutoBan自愈,F-5003
N-5203,N-5200,NFR,SLA月度可用性,F-5004
N-5204,N-5200,NFR,容灾RTO/RPO与备份恢复,F-5005
N-5205,N-5200,NFR,限流过载保护与缓存失联降级,F-5003
N-5300,N-5000,NFR,安全Security,
N-5301,N-5300,NFR,密钥与支付Secret加密静态存储,F-5007
N-5302,N-5300,NFR,令牌Key掩码与受控取明文,F-5006
N-5303,N-5300,NFR,日志prompt响应脱敏管线,F-5008
N-5304,N-5300,NFR,高危操作审计留痕,F-5009
N-5305,N-5300,NFR,传输加密与鉴权强度2FA/Passkey,F-5006
N-5306,N-5300,NFR,防刷Turnstile与令牌作用域最小化,F-5006
N-5307,N-5300,NFR,Webhook入站验签,F-5007
N-5400,N-5000,NFR,可观测性Observability,
N-5401,N-5400,NFR,Prometheus RED指标导出,F-5010
N-5402,N-5400,NFR,业务指标与用量准实时,F-5010
N-5403,N-5400,NFR,多渠道告警编排,F-5011
N-5404,N-5400,NFR,链路追踪trace_id贯穿,F-5012
N-5405,N-5400,NFR,日志分级与检索及健康探针,F-5012
N-5500,N-5000,NFR,伸缩性Scalability,
N-5501,N-5500,NFR,无状态横扩与共享缓存,F-5013
N-5502,N-5500,NFR,缓存命中率监控,F-5014
N-5503,N-5500,NFR,DB扩展与日志归档分区,F-5015
N-5504,N-5500,NFR,渠道规模与租户用户规模,F-5013
N-5600,N-5000,Compliance,数据与合规Data&Compliance,
N-5601,N-5600,Compliance,数据分级登记,F-5016
N-5602,N-5600,Compliance,凭证类与PII处理及IP匿名化,F-5020
N-5603,N-5600,Compliance,prompt响应留存策略与保留期,F-5017
N-5604,N-5600,Compliance,日志与用量计费保留期,F-5015
N-5605,N-5600,Compliance,数据出境告知与驻地标注,F-5019
N-5606,N-5600,Compliance,合规分组仅境内provider,F-5018
N-5607,N-5600,Compliance,隐私政策同意闸门,F-5021
N-5608,N-5600,Compliance,账号注销级联删除与可携权,F-5020
N-5609,N-5600,Compliance,备份加密,F-5015
N-5700,N-5000,RBAC,权限与租户RBAC&Tenancy,
N-5701,N-5700,RBAC,三级系统角色鉴权common/admin/root,F-5031
N-5702,N-5700,RBAC,七产品角色映射访客至Root,F-5031
N-5703,N-5700,RBAC,功能权限组运营集运维集,F-5030
N-5704,N-5700,RBAC,self-scope资源越权防护,F-5032
N-5705,N-5700,RBAC,高危操作二次验证闸门,F-5033
N-5706,N-5700,RBAC,角色操作权限矩阵配置化与审计,F-5034
N-5707,N-5700,RBAC,多租户决策三阶段建议,F-5035
N-5708,N-5707,RBAC,团队工作区实体阶段二预留,F-5035
