function_id,function,module,roles,priority,trigger,core_result,data_objects,evidence,acceptance_focus,state_exception_permission_rule,source_fc
F-3019,上游模型同步执行（拉取 basellm 元数据创建缺失模型 + 可选字段覆盖）,模型同步,admin,P1,管理员点击同步上游模型,创建本地缺失模型并按需覆盖字段,"ModelMeta,VendorMeta,MissingModels",controller/model_sync.go SyncUpstreamModels：upstream URL basellm.github.io、GetMissingModels、ETag 条件请求、SyncOfficial=0 跳过,无缺失且无 overwrite 时不请求上游直接返回零计数；上游缺失的模型进 skipped；返回 created_models/created_vendors/updated_models/skipped_models 计数,SyncOfficial=0 的本地模型被跳过覆盖；上游拉取失败返回「获取上游模型失败」；AdminAuth 保护,FC-082
F-3020,上游模型同步预览（差异对比不落库）,模型同步,admin,P1,管理员同步前点击预览差异,返回上游与本地差异供弹窗勾选,"ModelMeta,VendorMeta",controller/model_sync.go SyncUpstreamPreview（line 498+）；getUpstreamURLs 支持 locale（en/zh-CN/zh-TW/ja）,预览仅返回差异不写库；locale 非法时回退默认 URL；ETag 命中 304 走 bodyCache,AdminAuth 保护；预览阶段不修改任何模型记录,FC-082
F-3021,缺失模型检测（渠道引用但无元数据的模型）,模型同步,admin,P1,管理员查看哪些模型缺配置,返回被渠道引用但无 ModelMeta 记录的模型名列表,MissingModels,controller/missing_models.go GetMissingModels 调 model.GetMissingModels(),返回 data 为缺失模型名数组；查询失败返回 success=false+message；用于驱动同步,AdminAuth（modelsRoute）保护,FC-083
F-3022,模型排行榜（公开 period 维度快照）,模型广场,user|guest,P2,用户访问模型排行页,返回指定周期的模型使用排行快照,UseDataRankings,controller/rankings.go GetRankings：service.GetRankingsSnapshot(DefaultQuery(period，week))；api-router.go /rankings 挂 HeaderNavModuleAuth(rankings),默认 period=week；非法 period 返回 400+message；返回 data 为排行快照,HeaderNavModuleAuth 控制模块可见性（可公开）,FC-084
F-3023,公开价格页（按用户可用分组过滤定价 + 分组倍率）,模型广场,user|guest,P1,用户访问定价页,返回过滤后的模型定价、供应商、分组倍率与可用分组,"Pricing,VendorMeta",controller/pricing.go GetPricing：filterPricingByUsableGroups、GetUserUsableGroups、GetGroupGroupRatio、pricing_version 常量,未登录按公开可用分组过滤；EnableGroup 含 all 的项始终展示；group_ratio 仅保留可用分组；返回含 supported_endpoint/auto_groups/pricing_version,HeaderNavModuleAuth(pricing) 控制可见；可用分组为空时返回空定价列表,FC-065
F-3024,模型广场（DashboardListModels 渠道到模型映射）,模型广场,user,P2,登录用户查看可用模型总览,返回 channelId 到模型列表的映射,ModelMeta,controller/model.go DashboardListModels 返回 channelId2Models；api-router.go /models 挂 UserAuth,返回 data=channelId2Models 映射；需登录,UserAuth 保护,FC-085
F-3025,用户可见模型列表（按用户分组聚合去重）,模型广场,user,P1,用户查询自己可调用的模型,返回该用户所有可用分组下启用模型的去重列表,"ModelMeta,User",controller/user.go GetUserModels：GetUserUsableGroups(user.Group)、GetGroupEnabledModels、StringsContains 去重,返回 data 为去重模型名数组；按用户所属分组聚合各分组启用模型；用户不存在返回错误,selfRoute /self/models 需 UserAuth；仅返回该用户可用分组的模型,FC-085
F-3026,OpenAI 兼容 chat/completions 与 completions 中转,Relay 网关,user,P0,客户端 POST /v1/chat/completions 或 /v1/completions,按 RelayFormatOpenAI 转发到上游并回传响应,"Token,Channel,Log",router/relay-router.go httpRouter.POST(/chat/completions 与 /completions) 走 Relay(RelayFormatOpenAI)；relay_mode.go RelayModeChatCompletions/RelayModeCompletions,路径正确映射 relay mode；TokenAuth+ModelRequestRateLimit+Distribute 中间件链生效；流式与非流式均可转发,TokenAuth 鉴权失败拒绝；ModelRequestRateLimit 超限拒绝；moderations 复用 RelayFormatOpenAI,FC-086
F-3027,embeddings 中转（含后缀匹配兼容）,Relay 网关,user,P1,客户端 POST /v1/embeddings 或以 embeddings 结尾路径,按 RelayFormatEmbedding 转发,"Token,Channel",router/relay-router.go POST /embeddings 走 RelayFormatEmbedding；relay_mode.go Path2RelayMode 对 /v1/embeddings 及 HasSuffix(embeddings) 均判 RelayModeEmbeddings,/v1/embeddings 与任意 embeddings 后缀路径都被识别为 embeddings 模式；/engines/:model/embeddings 走 Gemini,TokenAuth 保护,FC-087
F-3028,images 中转（generations/edits，variations 未实现）,Relay 网关,user,P1,客户端 POST /v1/images/generations 或 /edits,按 RelayFormatOpenAIImage 转发,"Token,Channel",router/relay-router.go POST /images/generations、/images/edits、/edits 走 RelayFormatOpenAIImage；/images/variations 走 RelayNotImplemented,generations/edits 正常转发；POST /v1/images/variations 返回未实现响应（RelayNotImplemented）,variations 明确不支持需返回 not implemented 而非 500,FC-088
F-3029,audio 中转（speech/transcription/translation 统一格式）,Relay 网关,user,P1,客户端调用 /v1/audio/speech 或 transcriptions 或 translations,按 RelayFormatOpenAIAudio 转发,"Token,Channel",router/relay-router.go POST /audio/speech、/audio/transcriptions、/audio/translations 走 RelayFormatOpenAIAudio；relay_mode.go RelayModeAudioSpeech/Transcription/Translation,三个音频端点均路由到 OpenAIAudio 格式；speech(tts)与 whisper 转录/翻译均可转发,TokenAuth 保护,FC-089
F-3030,moderations 内容审核中转,Relay 网关,user,P2,客户端 POST /v1/moderations,按 RelayFormatOpenAI 转发审核请求,"Token,Channel",router/relay-router.go POST /moderations 走 Relay(RelayFormatOpenAI)；relay_mode.go RelayModeModerations,moderations 路径被识别为 RelayModeModerations；以 OpenAI 格式转发到上游,TokenAuth 保护,FC-090
F-3031,rerank 重排序中转,Relay 网关,user,P2,客户端 POST /v1/rerank,按 RelayFormatRerank 转发,"Token,Channel",router/relay-router.go POST /rerank 走 RelayFormatRerank；relay_mode.go RelayModeRerank（jina/cohere 等 adapter）,/v1/rerank 被识别为 RelayModeRerank 并转发到支持 rerank 的上游,TokenAuth 保护,FC-091
F-3032,responses 中转（含 compact 紧凑变体）,Relay 网关,user,P1,客户端 POST /v1/responses 或 /responses/compact,按 RelayFormatOpenAIResponses(Compaction) 转发,"Token,Channel",router/relay-router.go /responses 走 RelayFormatOpenAIResponses、/responses/compact 走 RelayFormatOpenAIResponsesCompaction；relay_mode.go 先判 /v1/responses/compact 再判 /v1/responses,/responses/compact 必须先于 /responses 匹配（前缀顺序）；两者分别走不同 RelayFormat,路径前缀匹配顺序错误会导致 compact 被误判为普通 responses,FC-093
F-3057,edits 中转（legacy /v1/edits 编辑端点）,Relay 网关,user,P2,客户端 POST /v1/edits,按 RelayModeEdits 识别并以图像/编辑格式转发,"Token,Channel",relay_mode.go Path2RelayMode 对 /v1/edits 判 RelayModeEdits（独立于 images）；router/relay-router.go POST /edits 走 RelayFormatOpenAIImage,/v1/edits 被识别为独立 RelayModeEdits 常量；与 /images/edits 区分；经 OpenAIImage 格式链路转发,TokenAuth 保护；edits 为 legacy 端点需与 images/edits 路径区分,FC-092
F-3033,realtime WebSocket 实时中转,Relay 网关,user,P2,客户端 GET /v1/realtime 建立 WebSocket,按 RelayFormatOpenAIRealtime 升级并双向转发,"Token,Channel",router/relay-router.go wsRouter.GET(/realtime) 走 Relay(RelayFormatOpenAIRealtime)；controller/relay.go line79 RelayFormatOpenAIRealtime 分支；relay_mode.go RelayModeRealtime,GET /v1/realtime 走 WebSocket 升级而非普通 HTTP；TokenAuth+Distribute 生效；错误以 realtime 专用分支返回,WebSocket 错误处理分支与 HTTP 不同（relay.go case RelayFormatOpenAIRealtime）,FC-094
F-3034,Gemini 原生协议中转（/v1beta/models/*）,Relay 网关,user,P1,客户端按 Gemini 原生格式调 /v1beta/models 路径,按 RelayFormatGemini 转发,"Token,Channel",router/relay-router.go relayGeminiRouter POST /v1beta/models/*path 走 RelayFormatGemini；relay/channel/gemini adapter；relay_mode.go /v1beta/models 判 RelayModeGemini,Gemini 路径 /v1beta/models/*path 正确路由；x-goog-api-key 或 query key 时 /v1/models 也走 Gemini 检索,TokenAuth+ModelRequestRateLimit+Distribute 生效；原生格式经 gemini adapter 转换,FC-095
F-3035,Claude 原生协议中转（/v1/messages）,Relay 网关,user,P1,客户端按 Anthropic 原生格式 POST /v1/messages,按 RelayFormatClaude 转发,"Token,Channel",router/relay-router.go POST /messages 走 Relay(RelayFormatClaude)；relay/channel/claude adapter；controller/relay.go RelayFormatClaude 错误分支以 newAPIError.StatusCode 返回,/v1/messages 走 Claude 格式；错误时按 Claude 结构返回（relay.go case RelayFormatClaude）；x-api-key+anthropic-version 头识别 Anthropic 模型列表,TokenAuth 保护；Claude 错误响应格式与 OpenAI 不同,FC-096
F-3036,各厂商原生协议适配（37 个 provider adapter 转换）,Relay 网关,admin|user,P1,请求被分发到对应渠道类型的上游,经 provider adapter 将统一请求转换为厂商原生协议,Channel,relay/channel/ 下 37 个 adapter（tencent/xunfei/zhipu/ali/baidu/aws/vertex/cohere/mistral/codex 等）；REPO-INSPECTION D13 footprint,各 adapter 将统一入参转换为对应厂商协议并解析其响应；新增渠道按 AGENTS Rule4 决定是否加入 streamSupportedChannels,渠道类型常量至 57(constant/channel.go)；adapter 缺失会导致该渠道类型无法中转,FC-097
F-3037,Relay 统一错误处理与渠道自动禁用（按状态码重试/禁用）,Relay 网关,user|admin,P0,上游返回错误状态码,按状态码决定重试或禁用渠道并记录错误日志,"Channel,Log",controller/relay.go ShouldRetryByStatusCode(code)、service.DisableChannel、RecordErrorLog(MaskSensitiveErrorWithStatusCode)、other[status_code],可重试状态码触发重试、不可重试则跳过；满足条件的渠道被 DisableChannel；错误日志脱敏(MaskSensitive)并记录 channel/model/status_code,错误响应按 RelayFormat（OpenAI/Claude/Gemini）分别构造；仅 AutoBan 渠道才允许自动禁用,FC-086
F-3038,生成视频内容网关代理下发（/videos/:task_id/content）,Relay 网关,user,P2,客户端 GET 视频任务内容,代理下发上游视频内容（含 gemini 分支）,"Task,Channel",controller/video_proxy.go VideoProxy：task_id 必填、gemini 分支 videoURL=baseURL+/v1/videos/{id}/content,task_id 为空返回 invalid_request_error+400；按上游任务 ID 拼接内容 URL 并代理；gemini 与通用分支分别处理,S1 评审补回端点(FC-128)；缺 task_id 返回结构化错误,FC-128
F-3039,io.net 部署集成开关与设置查询,部署管理,admin,P1,管理员打开部署管理页,返回 io.net 启用状态/是否配置 api_key/可连通性,Option,controller/deployment.go GetModelDeploymentSettings：OptionMap[model_deployment.ionet.enabled/api_key]；返回 provider=io.net、enabled、configured、can_connect,enabled 取 OptionMap 是否等于 true；configured=api_key 非空；can_connect=enabled且configured；provider 固定 io.net,deploymentsRoute 挂 AdminAuth；getIoAPIKey 在未启用或 key 缺失时返回错误,FC-098
F-3040,io.net 连接测试（校验 api_key + 返回硬件可用量）,部署管理,admin,P1,管理员点击测试连接提交 api_key,用 EnterpriseClient 验证 key 并返回硬件数与可用量,Option,controller/deployment.go TestIoNetConnection：req.APIKey 为空回退 stored key、NewEnterpriseClient、GetMaxGPUsPerContainer、APIError 透传 message,请求体 key 为空且无存储 key 返回 api_key is required；key 无效返回 ionet.APIError.Message；成功返回 hardware_count/total_available,AdminAuth 保护；空 message 时回退 failed to validate api key,FC-098
F-3041,部署列表查询与状态计数（分页 + 状态聚合）,部署管理,admin,P1,管理员浏览部署集群列表,返回 io.net 部署分页列表及各状态计数,Deployment,controller/deployment.go GetAllDeployments：ListDeployments(SortBy=created_at desc)、mapIoNetDeployment、computeStatusCounts(running/completed/failed 等),返回 items 含 time_remaining/hardware_info/compute_minutes_remaining；status_counts 含 all 与各状态计数；分页 page/page_size/total 正确,AdminAuth+EnterpriseClient；time_remaining 按 ComputeMinutesRemaining 换算小时分钟,FC-099
F-3042,部署搜索（按状态过滤 + 名称关键词本地过滤）,部署管理,admin,P2,管理员按状态或名称搜索部署,返回过滤后的部署列表,Deployment,controller/deployment.go SearchDeployments：status 透传上游、keyword 在本地按 Name Contains 过滤、keyword 非空时 total=len(filtered),status 作为上游过滤参数；keyword 为空返回全部、非空按名称小写包含过滤；total 按过滤后数量修正,AdminAuth 保护,FC-099
F-3043,部署详情查询（GPU/容器/计算分钟/地域）,部署管理,admin,P1,管理员点击某部署查看详情,返回单个部署的硬件/容器/计算用量明细,Deployment,controller/deployment.go GetDeployment：requireDeploymentID、GetDeployment 返回 total_gpus/total_containers/compute_minutes_served/locations/container_config,id 为空返回 deployment ID is required；返回含 gpus_per_container/amount_paid/completed_percent/locations,AdminAuth；deploymentID 必填校验,FC-100
F-3044,创建部署（DeployContainer 下发容器）,部署管理,admin,P1,管理员提交新建部署表单,向 io.net 下发容器部署请求,Deployment,controller/deployment.go CreateDeployment：ShouldBindJSON(ionet.DeploymentRequest)、client.DeployContainer、返回 deployment_id/status,请求体非法返回绑定错误；成功返回 deployment_id/status 与 Deployment created successfully,AdminAuth+EnterpriseClient,FC-098
F-3045,部署更新（UpdateDeployment 配置变更）,部署管理,admin,P2,管理员修改部署配置,提交 io.net 部署更新请求,Deployment,controller/deployment.go UpdateDeployment：requireDeploymentID、ShouldBindJSON(ionet.UpdateDeploymentRequest)、client.UpdateDeployment 返回 status/deployment_id,deploymentID 必填；请求体非法返回错误；成功返回 status/deployment_id,AdminAuth 保护,FC-100
F-3046,部署重命名（名称可用性预检）,部署管理,admin,P2,管理员重命名部署,校验新名称可用后更新部署名,Deployment,controller/deployment.go UpdateDeploymentName：CheckClusterNameAvailability 预检、空名拒绝、UpdateClusterName,name 为空返回 deployment name cannot be empty；名称不可用返回 name is not available；可用预检失败返回 failed to check name availability,AdminAuth；name binding required,FC-100
F-3047,部署续期（ExtendDeployment 延长计算时长）,部署管理,admin,P2,管理员为部署续期,延长部署计算分钟并返回更新后详情,Deployment,controller/deployment.go ExtendDeployment：ShouldBindJSON(ionet.ExtendDurationRequest)、client.ExtendDeployment、mapIoNetDeployment 重构返回,deploymentID 必填；请求体非法返回错误；返回更新后的 compute_minutes_remaining/time_remaining,AdminAuth 保护,FC-100
F-3048,删除部署（请求终止）,部署管理,admin,P2,管理员删除/终止部署,向 io.net 发送终止请求,Deployment,controller/deployment.go DeleteDeployment：requireDeploymentID、client.DeleteDeployment、返回 Deployment termination requested successfully,deploymentID 必填；成功返回 status/deployment_id 与终止确认消息,AdminAuth；DELETE /:id,FC-100
F-3049,硬件类型查询（含总可用量统计）,部署管理,admin,P1,管理员选择部署硬件,返回可用硬件类型列表与总可用量,Deployment,controller/deployment.go GetHardwareTypes：client.ListHardwareTypes 返回 hardware_types/total/total_available,返回 hardware_types 数组、total=类型数、total_available=总可用副本数,AdminAuth+EnterpriseClient,FC-099
F-3050,部署地域查询,部署管理,admin,P2,管理员选择部署地域,返回可用部署地域列表,Deployment,controller/deployment.go GetLocations：client.ListLocations、total 为 0 时回退 len(Locations),返回 locations 数组与 total；上游 total=0 时用列表长度兜底,AdminAuth；GetLocations 用普通 Client（非 Enterprise）,FC-099
F-3051,可用副本查询（按硬件 ID + GPU 数）,部署管理,admin,P2,管理员选硬件后查询可用副本,返回指定硬件与 GPU 数下的可用副本,Deployment,controller/deployment.go GetAvailableReplicas：hardware_id 必填、Atoi 校验大于0、gpu_count 默认 1、client.GetAvailableReplicas,hardware_id 缺失返回 hardware_id parameter is required；非法或不大于0 返回 invalid hardware_id parameter；gpu_count 非正回退 1,AdminAuth+EnterpriseClient,FC-099
F-3052,部署价格预估,部署管理,admin,P1,管理员配置部署后预估费用,返回 io.net 价格预估结果,Deployment,controller/deployment.go GetPriceEstimation：ShouldBindJSON(ionet.PriceEstimationRequest)、client.GetPriceEstimation,请求体非法返回绑定错误；成功返回上游 priceResp,AdminAuth；实际计费以 io.net 为准,FC-100
F-3053,集群名称可用性查询,部署管理,admin,P2,管理员输入集群名实时校验,返回该名称是否可用,Deployment,controller/deployment.go CheckClusterNameAvailability：name 查询参数必填、client.CheckClusterNameAvailability、返回 available/name,name 为空返回 name parameter is required；返回 available 布尔与 name,AdminAuth；GET /check-name,FC-100
F-3054,部署容器列表（含容器事件）,部署管理,admin,P2,管理员查看部署下容器,返回容器列表及每容器事件时间线,"Deployment,Container",controller/deployment.go ListDeploymentContainers：ListContainers、Workers 映射 container_id/device_id/uptime_percent/public_url/events,deploymentID 必填；返回 containers 数组含 events(time/message)、total；无容器时返回空数组与 total=0,AdminAuth+EnterpriseClient,FC-100
F-3055,容器详情查询,部署管理,admin,P2,管理员查看单个容器明细,返回容器硬件/状态/事件详情,Container,controller/deployment.go GetContainerDetails：requireDeploymentID 与 requireContainerID、GetContainerDetails、details 为 nil 返回 not found,deploymentID/container_id 任一为空返回对应必填错误；details 为空返回 container details not found；返回 events/public_url/uptime_percent,AdminAuth；双 ID 必填,FC-100
F-3056,容器日志查询（按级别/流/游标分页 + 时间范围）,部署管理,admin,P2,管理员查看容器运行日志,返回容器原始日志（支持过滤与分页）,Container,controller/deployment.go GetDeploymentLogs：container_id 必填、limit 默认 100 上限 1000、level/stream/cursor/follow、start_time/end_time 按 RFC3339 解析,container_id 缺失返回 container_id parameter is required；limit>1000 截断为 1000；非法时间字符串被忽略；follow=true 启用跟随,AdminAuth；GetDeploymentLogs 用普通 Client；时间需 RFC3339,FC-100
