function_id,module,priority,prd_covered,prd_file
F-2002,异步任务中心,P0,yes,prd-asynctask.md
F-2003,异步任务中心,P0,yes,prd-asynctask.md
F-2004,异步任务中心,P1,yes,prd-asynctask.md
F-2005,异步任务中心,P0,yes,prd-asynctask.md
F-2006,异步任务中心,P1,yes,prd-asynctask.md
F-2007,异步任务中心,P0,yes,prd-asynctask.md
F-2008,异步任务中心,P0,yes,prd-asynctask.md
F-2009,异步任务中心,P0,yes,prd-asynctask.md
F-2010,异步任务中心,P1,yes,prd-asynctask.md
F-2011,异步任务中心,P1,yes,prd-asynctask.md
F-2012,预填分组,P1,yes,prd-prefill.md
F-2013,预填分组,P2,yes,prd-prefill.md
F-2014,预填分组,P2,yes,prd-prefill.md
F-2015,预填分组,P2,yes,prd-prefill.md
F-2016,渠道管理与上游路由,P0,yes,prd-channel.md
F-2017,渠道管理与上游路由,P1,no,
F-2018,渠道管理与上游路由,P2,no,
F-2019,渠道管理与上游路由,P1,no,
F-2020,渠道管理与上游路由,P1,yes,prd-channel.md
F-2021,渠道管理与上游路由,P1,yes,prd-channel.md
F-2022,渠道管理与上游路由,P2,no,
F-2023,渠道管理与上游路由,P0,yes,prd-channel.md
F-2024,渠道管理与上游路由,P1,yes,prd-channel.md
F-2025,渠道管理与上游路由,P2,no,
F-2026,渠道管理与上游路由,P2,no,
F-2027,渠道管理与上游路由,P3,no,
F-2028,渠道管理与上游路由,P0,yes,prd-channel.md
F-2029,亲和缓存,P0,yes,prd-channel.md
F-2030,亲和缓存,P1,no,
F-2031,亲和缓存,P1,no,
F-2032,亲和缓存,P2,no,
F-2033,亲和缓存,P3,no,
F-2034,亲和缓存,P1,yes,prd-channel.md
F-2035,跨分组重试,P0,yes,prd-channel.md
F-2036,跨分组重试,P1,yes,prd-channel.md
F-2037,跨分组重试,P1,yes,prd-channel.md
F-2038,计费与额度,P0,no,
F-2039,计费与额度,P1,no,
F-2040,计费与额度,P1,yes,prd-billing.md
F-2041,计费与额度,P0,yes,prd-billing.md
F-2042,计费与额度,P0,yes,prd-billing.md
F-2043,计费与额度,P2,no,
F-2044,计费与额度,P1,yes,prd-billing.md
F-2045,计费与额度,P2,yes,prd-billing.md
F-2046,计费与额度,P1,yes,prd-billing.md
F-2047,计费与额度,P1,yes,prd-billing.md
F-2048,计费与额度,P2,no,
F-3001,令牌管理,P0,yes,prd-token.md
F-3002,令牌管理,P0,yes,prd-token.md
F-3003,令牌管理,P0,yes,prd-token.md
F-3004,令牌管理,P0,yes,prd-token.md
F-3005,令牌管理,P1,yes,prd-token.md
F-3006,令牌管理,P0,yes,prd-token.md
F-3007,令牌管理,P1,yes,prd-token.md
F-3008,令牌管理,P0,yes,prd-token.md
F-3009,令牌管理,P1,yes,prd-token.md
F-3010,令牌管理,P1,yes,prd-token.md
F-3011,令牌管理,P1,yes,prd-token.md
F-3012,令牌管理,P1,yes,prd-token.md
F-3013,模型元数据,P1,no,
F-3014,模型元数据,P1,no,
F-3015,模型元数据,P1,yes,prd-model.md
F-3016,模型元数据,P1,yes,prd-model.md
F-3017,模型元数据,P2,no,
F-3018,供应商元数据,P1,no,
F-3019,模型同步,P1,yes,prd-model.md
F-3020,模型同步,P1,yes,prd-model.md
F-3021,模型同步,P1,yes,prd-model.md
F-3022,模型广场,P2,yes,prd-model.md
F-3023,模型广场,P1,yes,prd-model.md
F-3024,模型广场,P2,yes,prd-model.md
F-3025,模型广场,P1,yes,prd-model.md
F-3026,Relay 网关,P0,yes,prd-relay.md
F-3027,Relay 网关,P1,yes,prd-relay.md
F-3028,Relay 网关,P1,yes,prd-relay.md
F-3029,Relay 网关,P1,yes,prd-relay.md
F-3030,Relay 网关,P2,yes,prd-relay.md
F-3031,Relay 网关,P2,yes,prd-relay.md
F-3032,Relay 网关,P1,yes,prd-relay.md
F-3057,Relay 网关,P2,yes,prd-relay.md
F-3033,Relay 网关,P2,yes,prd-relay.md
F-3034,Relay 网关,P1,yes,prd-relay.md
F-3035,Relay 网关,P1,yes,prd-relay.md
F-3036,Relay 网关,P1,yes,prd-relay.md
F-3037,Relay 网关,P0,yes,prd-relay.md
F-3039,部署管理,P1,yes,prd-deploy.md
F-3040,部署管理,P1,yes,prd-deploy.md
F-3041,部署管理,P1,yes,prd-deploy.md
F-3042,部署管理,P2,yes,prd-deploy.md
F-3043,部署管理,P1,yes,prd-deploy.md
F-3044,部署管理,P1,yes,prd-deploy.md
F-3045,部署管理,P2,yes,prd-deploy.md
F-3046,部署管理,P2,yes,prd-deploy.md
F-3047,部署管理,P2,yes,prd-deploy.md
F-3048,部署管理,P2,yes,prd-deploy.md
F-3049,部署管理,P1,yes,prd-deploy.md
F-3050,部署管理,P2,yes,prd-deploy.md
F-3051,部署管理,P2,yes,prd-deploy.md
F-3052,部署管理,P1,yes,prd-deploy.md
F-3053,部署管理,P2,yes,prd-deploy.md
F-3054,部署管理,P2,yes,prd-deploy.md
F-3055,部署管理,P2,yes,prd-deploy.md
F-3056,部署管理,P2,yes,prd-deploy.md
F-4001,日志与用量,P0,yes,prd-usagelog.md
F-4002,日志与用量,P0,yes,prd-usagelog.md
F-4003,日志与用量,P1,yes,prd-usagelog.md
F-4004,日志与用量,P1,yes,prd-usagelog.md
F-4005,日志与用量,P1,yes,prd-usagelog.md
F-4006,日志与用量,P1,yes,prd-usagelog.md
F-4007,日志与用量,P1,yes,prd-usagelog.md
F-4008,日志与用量,P2,yes,prd-usagelog.md
F-4009,日志与用量,P1,yes,prd-usagelog.md
F-4010,日志与用量,P2,yes,prd-usagelog.md
F-4011,日志与用量,P0,yes,prd-usagelog.md
F-4012,日志与用量,P1,yes,prd-usagelog.md
F-4013,日志与用量,P1,yes,prd-usagelog.md
F-4014,日志与用量,P2,yes,prd-usagelog.md
F-4015,运营与运维,P0,yes,prd-ops.md
F-4016,运营与运维,P0,yes,prd-ops.md
F-4017,运营与运维,P0,yes,prd-ops.md
F-4018,运营与运维,P0,yes,prd-ops.md
F-4019,运营与运维,P1,yes,prd-ops.md
F-4020,运营与运维,P2,yes,prd-ops.md
F-4021,运营与运维,P2,yes,prd-ops.md
F-4022,运营与运维,P2,yes,prd-ops.md
F-4023,运营与运维,P2,yes,prd-ops.md
F-4024,运营与运维,P2,yes,prd-ops.md
F-4025,运营与运维,P2,yes,prd-ops.md
F-4026,运营与运维,P2,yes,prd-ops.md
F-4027,运营与运维,P1,yes,prd-ops.md
F-4028,运营与运维,P1,yes,prd-ops.md
F-4029,运营与运维,P2,yes,prd-ops.md
F-4030,运营与运维,P0,yes,prd-ops.md
F-4031,运营与运维,P2,yes,prd-ops.md
F-4032,运营与运维,P1,yes,prd-ops.md
F-4033,运营与运维,P2,yes,prd-ops.md
F-4034,运营与运维,P1,yes,prd-ops.md
F-4035,运营与运维,P1,yes,prd-ops.md
F-4036,运营与运维,P2,yes,prd-ops.md
F-4037,运营与运维,P1,no,
F-4038,Playground,P0,yes,prd-playground.md
F-4039,公开站点,P1,yes,prd-playground.md
F-4040,公开站点,P2,yes,prd-playground.md
F-4041,公开站点,P1,yes,prd-public.md
F-4042,公开站点,P1,yes,prd-public.md
F-4043,公开站点,P2,yes,prd-public.md
F-4044,公开站点,P2,yes,prd-public.md
F-4045,渠道运维,P1,yes,prd-ops.md
F-4046,Relay,P1,yes,prd-relay.md
F-5001,NFR,P0,yes,prd-nfr-rbac.md
F-5002,NFR,P1,yes,prd-nfr-rbac.md
F-5003,NFR,P0,yes,prd-nfr-rbac.md
F-5004,NFR,P1,yes,prd-nfr-rbac.md
F-5005,NFR,P1,yes,prd-nfr-rbac.md
F-5006,Security,P0,yes,prd-nfr-rbac.md
F-5007,Security,P0,yes,prd-nfr-rbac.md
F-5008,Security,P0,yes,prd-nfr-rbac.md
F-5009,Security,P0,yes,prd-nfr-rbac.md
F-5010,Observability,P0,yes,prd-nfr-rbac.md
F-5011,Observability,P0,yes,prd-nfr-rbac.md
F-5012,Observability,P1,yes,prd-nfr-rbac.md
F-5013,Scalability,P0,yes,prd-nfr-rbac.md
F-5014,Scalability,P1,yes,prd-nfr-rbac.md
F-5015,Scalability,P1,yes,prd-nfr-rbac.md
F-5016,Compliance,P1,yes,prd-nfr-rbac.md
F-5017,Compliance,P0,yes,prd-nfr-rbac.md
F-5018,Compliance,P1,yes,prd-nfr-rbac.md
F-5019,Compliance,P0,yes,prd-nfr-rbac.md
F-5020,Compliance,P0,yes,prd-nfr-rbac.md
F-5021,Compliance,P0,yes,prd-nfr-rbac.md
F-5030,RBAC,P1,yes,prd-nfr-rbac.md
F-5031,RBAC,P0,yes,prd-nfr-rbac.md
F-5032,RBAC,P0,yes,prd-nfr-rbac.md
F-5033,RBAC,P0,yes,prd-nfr-rbac.md
F-5034,RBAC,P2,yes,prd-nfr-rbac.md
F-5035,RBAC,P3,yes,prd-nfr-rbac.md
