function_id,function,module,roles,priority,trigger,core_result,data_objects,evidence,acceptance_focus,state_exception_permission_rule,source_fc
F-1011,更新用户资料(管理端),D1 账号与身份,管理员,P2,PUT /api/user/ 提交修改字段,更新指定用户的资料/额度/分组,User,api-router.go:140 adminRoute.PUT(/) controller.UpdateUser,提交后对应字段在 GET /api/user/:id 中反映为新值,需 AdminAuth,FC-004
F-1012,用户角色分级(root/admin/common),D1 账号与身份,系统,P0,任意鉴权请求按 user.Role 判定,按角色裁定接口可访问性,User,model/user.go Role 字段;common.RoleCommonUser(oauth.go:262),common 用户访问 adminRoute 被拒；admin 不能操作 root,越权访问返回 403；角色优先级 root>admin>common,FC-005
F-1013,用户分组(group)绑定,D1 账号与身份,管理员,P1,管理端为用户设置 group 字段,用户请求按所属分组应用倍率/可用渠道,User,model/user.go:43 Group `default`;setting 可用分组,修改 group 后该用户的分组倍率与可用渠道随之改变,group 必须属于系统可用分组集合,FC-006
F-1014,用户备注与个人设置,D1 账号与身份,管理员;本人,P2,管理端写 Remark / 本人 PUT /api/user/self/setting,保存 admin 备注与用户偏好,User;UserSetting,controller/user.go GetSelf(user.go:442 Remark 置空);api-router.go:109 selfRoute.PUT(/setting),普通用户 GetSelf 返回中 Remark 被置空隐藏；本人设置可保存并回读,admin 备注仅管理端可见，对普通用户隐藏,FC-007
F-1015,生成 OAuth state(CSRF)并暂存 aff,D1 账号与身份,匿名访客,P0,GET /api/oauth/state（可带 aff）,生成随机 state 写入会话并暂存邀请码,Session,controller/oauth.go GenerateOAuthCode;api-router.go:46 GET /oauth/state,回调时 state 不匹配返回 403 MsgOAuthStateInvalid；带 aff 参数时存入 session,state 缺失/不匹配拒绝回调；过 CriticalRateLimit,FC-008
F-1016,GitHub OAuth 登录/注册,D1 账号与身份,匿名访客,P1,GET /api/oauth/github 回调,换取 GitHub 用户信息后登录或创建用户,User;UserOAuthBinding,controller/oauth.go HandleOAuth(github_id);api-router.go:54 GET /oauth/:provider,首次回调创建 github_id 绑定的用户，再次回调直接登录同一账号,provider 未启用拒绝；RegisterEnabled=false 时不创建新用户,FC-008
F-1017,GitHub legacy_id 迁移,D1 账号与身份,系统,P2,GitHub 回调命中 legacy_id 用户,将旧 login 标识迁移到数字 ID,User,controller/oauth.go findOrCreateOAuthUser(oauth.go:216 UpdateGitHubId),旧 legacy_id 用户回调后 github_id 被更新为新数字 ID 且仍登录原账号,迁移失败时仍允许登录(容错),FC-008
F-1018,Discord OAuth 登录/绑定,D1 账号与身份,匿名访客;登录用户,P2,GET /api/oauth/discord 回调,登录创建或绑定 discord_id,User;UserOAuthBinding,controller/oauth.go(discord_id 更新 oauth.go:311);setting/system_setting/discord.go,已登录会话回调走 handleOAuthBind 绑定 discord_id；discord_id 已被占用返回 MsgOAuthAlreadyBound,已绑定该 discord 账号时拒绝重复绑定,FC-009
F-1019,OIDC 通用 OAuth 登录/绑定,D1 账号与身份,匿名访客;登录用户,P2,GET /api/oauth/oidc 回调,经 OIDC discovery 完成登录或绑定 oidc_id,User,controller/oauth.go(oidc_id oauth.go:312);system_setting/oidc.go,配置 OIDC discovery 后可完成授权码换取并登录，oidc_id 写入用户,provider 未启用拒绝,FC-010
F-1020,LinuxDO OAuth 登录/绑定,D1 账号与身份,匿名访客;登录用户,P2,GET /api/oauth/linuxdo 回调,登录或绑定 linux_do_id（含信任级校验）,User,controller/oauth.go(linux_do_id oauth.go:313);model/user.go:50 LinuxDOId;TrustLevelError,信任级不足时返回 MsgOAuthTrustLevelLow，达标才登录,信任级低于阈值拒绝登录,FC-011
F-1021,WeChat 扫码授权,D1 账号与身份,匿名访客,P2,GET /api/oauth/wechat,发起微信授权获取 wechat_id,WeChatAuthState,api-router.go:49 GET /oauth/wechat controller.WeChatAuth;controller/wechat.go,发起后返回可用于完成绑定/登录的授权态,过 CriticalRateLimit,FC-012
F-1022,WeChat 绑定/登录,D1 账号与身份,匿名访客;登录用户,P2,POST /api/oauth/wechat/bind,用微信授权码完成绑定或登录,User,api-router.go:50 POST /oauth/wechat/bind controller.WeChatBind,已登录时绑定 wechat_id；未登录且 wechat_id 存在则登录对应用户,微信功能未配置时不可用；过 CriticalRateLimit,FC-012
F-1023,获取自定义 OAuth discovery,D1 账号与身份,root,P2,POST /api/custom-oauth-provider/discovery,拉取目标 issuer 的端点配置,CustomOAuthProvider,api-router.go:205 customOAuthRoute.POST(/discovery) controller.FetchCustomOAuthDiscovery,输入 issuer 后返回 authorization/token/userinfo 端点,需 root 权限,FC-013
F-1024,自定义 OAuth provider CRUD,D1 账号与身份,root,P2,GET/POST/PUT/DELETE /api/custom-oauth-provider,管理自定义 OAuth 提供商配置,CustomOAuthProvider,api-router.go:206-210 customOAuthRoute CRUD;model/custom_oauth_provider.go,创建后出现在列表；删除后对应 provider 登录入口失效,需 root 权限,FC-013
F-1025,自定义 provider 登录与绑定写入,D1 账号与身份,匿名访客;登录用户,P2,GET /api/oauth/:provider(自定义),经 GenericOAuthProvider 登录并写 user_oauth_bindings,User;UserOAuthBinding,controller/oauth.go(GenericOAuthProvider 分支 oauth.go:273/282),自定义 provider 首次登录在 user_oauth_bindings 建一条绑定记录,registration 关闭时不创建新用户,FC-014
F-1026,解绑自定义 OAuth(本人),D1 账号与身份,登录用户,P2,DELETE /api/user/self/oauth/bindings/:provider_id,删除本人对应 provider 绑定,UserOAuthBinding,api-router.go:124 selfRoute.DELETE(/oauth/bindings/:provider_id) controller.UnbindCustomOAuth,解绑后该 provider 不再能登录到此账号,仅能解绑本人绑定,FC-014
F-1027,管理端查询/解绑用户 OAuth 绑定,D1 账号与身份,管理员,P2,GET/DELETE /api/user/:id/oauth/bindings,查看或移除指定用户的 OAuth 绑定,UserOAuthBinding,api-router.go:134 GET /:id/oauth/bindings;api-router.go:135 DELETE /:id/oauth/bindings/:provider_id,查询返回该用户全部绑定；解绑后绑定记录消失,需 AdminAuth,FC-014
F-1028,Passkey 注册(begin/finish),D1 账号与身份,登录用户,P2,POST /api/user/self/passkey/register/begin|finish,完成 WebAuthn 凭据注册,Passkey,api-router.go:90-91 selfRoute passkey/register/begin|finish;controller/passkey.go,finish 成功后 GET /passkey 状态显示已注册凭据,需登录会话,FC-015
F-1029,Passkey 登录(begin/finish),D1 账号与身份,匿名访客,P2,POST /api/user/passkey/login/begin|finish,无密码 WebAuthn 登录,Passkey;Session,api-router.go:72-73 userRoute passkey/login/begin|finish(CriticalRateLimit),已注册 passkey 用户 finish 校验通过即建立会话,过 CriticalRateLimit;凭据校验失败拒绝,FC-015
F-1030,Passkey 二次验证(verify),D1 账号与身份,登录用户,P2,POST /api/user/self/passkey/verify/begin|finish,用 passkey 完成敏感动作二次校验,Passkey,api-router.go:92-93 selfRoute passkey/verify/begin|finish,verify finish 通过后放行受保护的敏感动作,需登录会话,FC-015
F-1031,Passkey 删除/查询状态,D1 账号与身份,登录用户,P2,GET/DELETE /api/user/self/passkey,查询或删除本人 passkey 凭据,Passkey,api-router.go:89 selfRoute.GET(/passkey);api-router.go:94 DELETE /passkey controller.PasskeyDelete,删除后状态接口显示无凭据，passkey 登录失效,仅操作本人凭据,FC-015
F-1032,管理端重置用户 Passkey,D1 账号与身份,管理员,P2,DELETE /api/user/:id/reset_passkey,清除指定用户全部 passkey,Passkey,api-router.go:142 adminRoute.DELETE(/:id/reset_passkey) controller.AdminResetPasskey,执行后目标用户所有 passkey 凭据被清除,需 AdminAuth,FC-015
F-1033,2FA 启用流程(setup→enable),D1 账号与身份,登录用户,P2,POST /api/user/self/2fa/setup 再 /enable,绑定 TOTP 并开启双因子,TwoFA,api-router.go:113-114 selfRoute 2fa/setup|enable;controller/twofa.go,setup 返回密钥，enable 校验首个 TOTP 通过后 2FA 状态变为开启,需登录；enable 时 TOTP 错误拒绝开启,FC-016
F-1034,2FA 关闭,D1 账号与身份,登录用户,P2,POST /api/user/self/2fa/disable,验证后关闭双因子,TwoFA,api-router.go:115 selfRoute.POST(/2fa/disable) controller.Disable2FA,校验通过后 2FA 状态关闭，登录不再要求 TOTP,关闭需通过验证(密码/TOTP),FC-016
F-1035,2FA 备份码生成,D1 账号与身份,登录用户,P2,POST /api/user/self/2fa/backup_codes,生成/重置一次性备份码,TwoFA,api-router.go:116 selfRoute.POST(/2fa/backup_codes) controller.RegenerateBackupCodes,调用后返回新备份码集合且旧备份码失效,需已启用 2FA,FC-016
F-1036,2FA 登录校验,D1 账号与身份,匿名访客,P0,POST /api/user/login/2fa,密码登录后用 TOTP/备份码完成第二步,TwoFA;Session,api-router.go:71 userRoute.POST(/login/2fa) controller.Verify2FALogin,已开 2FA 的账号需 TOTP 正确才建立会话；错误码拒绝,TOTP/备份码错误拒绝；过 CriticalRateLimit,FC-016
F-1037,管理端 2FA 统计与禁用,D1 账号与身份,管理员,P2,GET /api/user/2fa/stats;DELETE /api/user/:id/2fa,查看 2FA 启用统计或为用户强制关闭,TwoFA,api-router.go:145 adminRoute.GET(/2fa/stats);api-router.go:146 DELETE /:id/2fa controller.AdminDisable2FA,stats 返回启用人数统计；对用户禁用后其 2FA 关闭,需 AdminAuth,FC-016
F-1038,通用敏感动作二次验证,D1 账号与身份,登录用户,P1,POST /api/verify,SecureVerificationRequired 保护下校验身份,SecureVerification,api-router.go:65 POST /verify(UserAuth + CriticalRateLimit) controller.UniversalVerify;controller/secure_verification.go,验证通过后放行受 SecureVerificationRequired 保护的动作；未验证则该动作被拦截,需登录(UserAuth)；过 CriticalRateLimit,FC-017
F-1039,获取个人邀请码,D3 邀请返利分销,登录用户,P0,GET /api/user/self/aff,返回本人 aff_code（无则生成唯一 4 位码）,User,controller/user.go GetAffCode(user.go:408-430);api-router.go:95 selfRoute.GET(/aff),AffCode 为空时生成 4 位随机码并落库；返回 data 为该 aff_code,aff_code 唯一索引(model/user.go:44);需登录,FC-024
F-1040,邮箱注册邀请码归因,D3 邀请返利分销,匿名访客,P0,注册请求携带 aff_code,解析 inviterId 并记录 InviterId,User,controller/user.go Register(user.go:215-221 GetUserIdByAffCode→InviterId),注册时带有效 aff_code 则新用户 inviter_id 写为邀请人 ID；无效码 inviter_id=0,空/无效 aff_code 时 inviterId=0,FC-025
F-1041,OAuth 注册邀请码归因,D3 邀请返利分销,匿名访客,P1,OAuth state 携带 aff 后回调注册,从 session 取 aff 解析 inviterId,User;Session,controller/oauth.go findOrCreateOAuthUser(oauth.go:266-269 session.Get(aff)),OAuth 链路 /oauth/state?aff=xxx 后新用户 inviter_id 记为邀请人,仅 session 中存在 aff 时归因,FC-025
F-1042,邀请人奖励发放,D3 邀请返利分销,系统,P0,新用户创建完成回调,邀请人 AffCount++ 且 AffQuota/AffHistoryQuota += QuotaForInviter,User,model/user.go:344-347 AffCount++/AffQuota+=QuotaForInviter/AffHistoryQuota+=,被邀请人注册后邀请人 aff_count 加 1 且 aff_quota 增加 QuotaForInviter,仅当 inviterId 有效时发放,FC-026
F-1043,新用户邀请奖励,D3 邀请返利分销,系统,P1,经邀请创建的新用户初始化,新用户初始额度叠加 QuotaForNewUser,User,model/user.go:395 user.Quota=common.QuotaForNewUser;common.QuotaForNewUser,经邀请注册的新用户初始 quota 包含 QuotaForNewUser,无邀请时按默认初始额度,FC-027
F-1044,邀请额度划转为可用额度,D3 邀请返利分销,登录用户,P0,POST /api/user/self/aff_transfer 提交 quota,从 AffQuota 扣减并增加可用 Quota,User,controller/user.go TransferAffQuota(user.go:384-406);model TransferAffQuotaToQuota(user.go:350-376);api-router.go:108,划转 quota>=QuotaPerUnit 且 AffQuota 充足才成功：aff_quota-=quota、quota+=quota,quota<QuotaPerUnit 报最小额度错；AffQuota 不足报邀请额度不足；需通过 payment_compliance,FC-028
F-1045,邀请统计展示,D3 邀请返利分销,登录用户,P1,GET /api/user/self 查看个人信息,返回 AffCount/AffQuota/AffHistoryQuota,User,model/user.go:45-47 aff_count/aff_quota/aff_history 字段,个人信息接口返回累计邀请人数与可划转/历史邀请额度三项,需登录,FC-029
F-1046,每日签到领取随机额度,D2 签到,登录用户,P0,POST /api/user/checkin,当日首次签到发放 MinQuota..MaxQuota 随机额度,Checkin;User,controller/checkin.go DoCheckin;model/checkin.go UserCheckin(checkin.go:70-74 rand);api-router.go:120,"签到成功返回 quota_awarded∈[MinQuota,MaxQuota] 且用户 quota 同步增加",签到功能未启用返回未启用错误；过 TurnstileCheck;需登录,FC-019
F-1047,签到状态与本月记录查询,D2 签到,登录用户,P1,GET /api/user/checkin（可带 month）,返回本月签到记录与累计统计,Checkin,controller/checkin.go GetCheckinStatus;model/checkin.go GetUserCheckinStats(checkin.go:143-178);api-router.go:119,返回 total_quota/total_checkins/checkin_count/checked_in_today 及本月记录,功能未启用返回未启用错误；返回记录不含 id/user_id 敏感字段,FC-020
F-1048,签到防重复(唯一约束+事务),D2 签到,系统,P0,同一用户当日重复签到,"靠 (user_id,checkin_date) 唯一索引与事务拦截重复",Checkin,model/checkin.go HasCheckedInToday(checkin.go:42-50);唯一索引 idx_user_checkin_date(checkin.go:16-17);事务(checkin.go:95-122),当日已签到再签返回今日已签到；并发重复签到被唯一约束拦截,MySQL/PG 走事务、SQLite 走顺序+回滚保证额度与记录原子,FC-021
F-1049,签到开关与额度区间配置,D2 签到,管理员,P1,管理端配置 checkin_setting,设置 Enabled 与 MinQuota/MaxQuota,CheckinSetting,setting/operation_setting/checkin_setting.go(默认 Enabled=false/Min=1000/Max=10000),关闭 Enabled 后签到接口返回未启用；调整 Min/Max 后奖励区间随之变化,需管理端权限；默认关闭,FC-022
F-1050,签到人机校验,D2 签到,登录用户,P1,POST /api/user/checkin 前置中间件,TurnstileCheck 通过后才执行签到,-,"api-router.go:120 selfRoute.POST(/checkin, middleware.TurnstileCheck(), controller.DoCheckin)",开启 Turnstile 时未通过校验请求被拦截，不进入签到逻辑,Turnstile 校验失败拒绝签到,FC-023
F-1051,Telegram 登录(HMAC 校验),D4 Telegram登录Bot,匿名访客,P1,GET /api/oauth/telegram/login 携带 Widget 参数,校验 HMAC 后按 telegram_id 登录,User;Session,controller/telegram.go TelegramLogin(telegram.go:72-99);checkTelegramAuthorization HMAC(telegram.go:101-124);api-router.go:51,"hash 与 HMAC-SHA256(token,sorted params) 一致才登录对应 telegram_id 用户",TelegramOAuthEnabled=false 返回未开启；hash 不匹配返回无效请求；过 CriticalRateLimit,FC-018
F-1052,Telegram 绑定到现有账号,D4 Telegram登录Bot,登录用户,P1,GET /api/oauth/telegram/bind 携带 Widget 参数,校验 HMAC 后将 telegram_id 写入当前用户,User,controller/telegram.go TelegramBind(telegram.go:18-70);api-router.go:52,绑定成功写入 user.TelegramId 并 302 跳转 /console/personal,该 telegram 账户已被绑定返回已被绑定；用户已注销返回错误；需登录会话,FC-018
F-1053,Telegram Login Widget HMAC 防伪,D4 Telegram登录Bot,系统,P0,登录/绑定回调进入 checkTelegramAuthorization,用 BotToken 派生密钥校验参数 hash,-,controller/telegram.go checkTelegramAuthorization(telegram.go:101-124 sha256→hmac),篡改任一参数导致重算 hash 不等于传入 hash 时返回 false 拒绝,密钥=SHA256(BotToken)，HMAC 输入为按字典序拼接的非 hash 参数,FC-018
F-1054,Telegram 绑定唯一性校验,D4 Telegram登录Bot,系统,P1,TelegramBind 校验 telegram_id 是否已占用,防止同一 telegram_id 被多账号绑定,User,controller/telegram.go IsTelegramIdAlreadyTaken(telegram.go:35-41),目标 telegram_id 已被其他账号绑定时返回该 Telegram 账户已被绑定，阻止绑定,telegram_id 唯一，重复绑定被拒,FC-018
F-2001,通用异步任务记录写入与状态机流转,异步任务中心,system,P0,relay 任务提交成功创建任务记录,任务以 NOT_START 落库，随轮询/回调推进至 SUBMITTED/QUEUED/IN_PROGRESS/SUCCESS 或 FAILURE,Task(TaskID/Platform/Status/Progress/SubmitTime/FinishTime/FailReason/Quota),model/task.go:34-66 TaskStatus 常量集与 Task struct；InitTask 初始 Status=TaskStatusNotStart、Progress=0%,"提交后查库存在 status=NOT_START 的 Task 行，progress=""0%""；模拟回调推进后 status 依次合法变更",状态机仅允许 NOT_START→SUBMITTED→QUEUED→IN_PROGRESS→SUCCESS/FAILURE/UNKNOWN；终态(SUCCESS/FAILURE)不可再被普通 bulk update 覆盖,FC-030
F-2002,任务状态 CAS 条件更新(防并发覆盖),异步任务中心,system,P0,轮询/回调写入任务新状态,以 fromStatus 为 WHERE 守卫做条件 UPDATE，赢得更新返回 true，已被他进程改写返回 false,Task.Status,model/task.go:411-417 UpdateWithStatus 用 Model().Select(*).Updates() 加 status=? 守卫，避免 Save 退化为 INSERT ON CONFLICT 绕过 CAS,两并发协程对同一 fromStatus 调用 UpdateWithStatus，仅一个返回 RowsAffected>0=true，另一个返回 false,计费生命周期(超时/成功/失败触发退款结算)必须用 UpdateWithStatus，禁止用无 CAS 守卫的 TaskBulkUpdateByID(注释明确警告),FC-030
F-2003,用户任务列表分页与多条件过滤查询,异步任务中心,user,P0,用户访问 GET /api/task/self,按 user_id 强制隔离返回本人任务，支持 task_id/action/status/platform/时间区间过滤、按 id desc 分页,"Task,SyncTaskQueryParams",model/task.go:211-245 TaskGetAllUserTask 强制 Where(user_id=?) 并 Omit(channel_id)，Order(id desc).Limit.Offset,以 userA 令牌查询只返回 userA 的 Task；channel_id 字段不出现在返回中；status=SUCCESS 过滤只返回成功任务,"返回结果按 user_id 隔离且 Omit(channel_id) 不泄露渠道；PrivateData(含 key) 永不序列化给用户(json:""-"")",FC-031
F-2004,管理端全量任务列表查询,异步任务中心,admin,P1,管理员访问 GET /api/task,跨用户返回全量任务，支持 channel_id/user_id/user_ids/platform/action/status/时间区间过滤与分页,"Task,SyncTaskQueryParams",model/task.go:247-290 TaskGetAllTasks 无 user_id 限制，支持 channel_id 与 user_id in(?) 过滤,管理员查询可返回多用户任务并按 channel_id 过滤命中；普通用户调用 /api/task 被 AdminAuth 拒绝,该列表含 channel_id，仅 AdminAuth 角色可访问；TaskCountAllTasks 提供同条件总数用于分页,FC-032
F-2005,Midjourney 绘图任务提交(imagine/change/blend/describe/modal/shorten/action/edits/video),异步任务中心,user,P0,用户调用 /mj/submit/:action,按 action 类型构造 MJ 任务，记录 Action/Prompt 并进入任务状态机轮询,Midjourney(Action/MjId/Prompt/Status/Progress/Buttons/ImageUrl/VideoUrl),REPO-INSPECTION D5 relay 提交侧 /mj/submit/* 列举 imagine/change/blend/describe/modal/shorten/video/edits；model/midjourney.go MJ 任务表,提交 imagine 返回 task_id 且 MJ 表新增 Action=IMAGINE 行；不支持 action 返回参数错误,MJ 渠道类型不支持连通性测试(channel-test.go:80-92 unsupportedTestChannelTypes 含 Midjourney/MidjourneyPlus)；mjproxy 拉不到账号实例且 AutoBan 开启时禁用渠道(mjproxy_handler.go:589),FC-033
F-2006,MJ 任务按 ID 拉取与按条件列表查询,异步任务中心,user,P1,调用 /mj/task/:id/fetch 或 /mj/task/list-by-condition,按 task_id 拉取单任务进度产物，或按条件批量拉取任务集合,"Midjourney,Task",REPO-INSPECTION D5 路由 /mj/task/:id/fetch、/mj/task/list-by-condition；model/task.go:317-358 GetByOnlyTaskId/GetByTaskId/GetByTaskIds,fetch 已存在任务返回 progress 与 imageUrl；list-by-condition 传 id 集合返回对应任务数组,GetByTaskId 以 user_id+task_id 双条件查询保证用户只能拉本人任务；GetByOnlyTaskId 仅内部回调使用,FC-034
F-2007,Suno 音乐/歌词任务提交与查询(MUSIC/LYRICS),异步任务中心,user,P0,调用 /suno/submit/:action 与 /suno/fetch,按 SunoAction(MUSIC/LYRICS)提交音乐/歌词生成任务并支持 fetch、fetch/:id 拉取,"Task(Platform=suno),constant.SunoAction",constant/task.go:6-23 TaskPlatformSuno、SunoActionMusic/Lyrics、SunoModel2Action(suno_music/suno_lyrics)；REPO-INSPECTION D5 /suno/submit/:action /suno/fetch /suno/fetch/:id,提交 suno_music 模型生成 Platform=suno、action=MUSIC 任务；fetch/:id 返回该任务状态,action 取值受 SunoModel2Action 约束(仅 MUSIC/LYRICS)；Suno 渠道类型在 channel-test.go unsupportedTestChannelTypes 中不可连通性测试,FC-035
F-2008,视频生成任务提交(Sora/Kling/Vidu/Hailuo/Jimeng/Doubao/Vertex/Gemini),异步任务中心,user,P0,调用视频生成端点(controller/task_video.go),按 provider adapter 提交视频任务，记录 PrivateData.ResultURL 并映射 TaskStatus→VideoStatus,"Task,TaskPrivateData(ResultURL),TaskBillingContext","model/task.go:17-31 ToVideoStatus 映射 Queued/InProgress/Completed/Failed/Unknown；REPO-INSPECTION D5 relay/channel/task/{kling,sora,vidu,hailuo,jimeng,doubao,vertex,gemini}",提交视频任务返回 task_id 且状态查询返回 video status=queued；任务成功后 GetResultURL 返回视频地址,Gemini/VertexAi 渠道在 InitTask 时把 ApiKey 写入 PrivateData.Key(task.go:176-179)，该字段禁止返回用户；Kling/Jimeng/Doubao/Vidu 渠道不支持连通性测试,FC-036
F-2009,任务异步退款与差额结算(计费上下文重算),异步任务中心,system,P0,任务轮询到终态或超时,读取 PrivateData.BillingContext 重算实际额度，按 BillingSource(wallet/subscription)对 token 或订阅做退款/差额结算,"TaskBillingContext(ModelPrice/GroupRatio/ModelRatio/OtherRatios/PerCallBilling),TaskPrivateData(BillingSource/SubscriptionId/TokenId)","model/task.go:103-118 TaskBillingContext 注释""用于轮询阶段重新计算额度""、PerCallBilling""按次计费跳过差额结算""；Group 字段注释""修正计费用""(task.go:51)",按次计费(PerCallBilling=true)任务终态不触发差额结算；按量任务失败时按 BillingSource 退回预扣额度,退款/结算必须经 UpdateWithStatus 的 CAS 守卫执行(task.go:411-434 警告 billing/quota 生命周期禁用无守卫 bulk update)；BillingSource=subscription 走订阅退款、wallet 走令牌额度退款,FC-037
F-2010,任务结果产物展示(ImageUrl/VideoUrl/Buttons),异步任务中心,user,P1,用户查询已完成任务,返回任务产物地址(图片/视频)与可交互按钮，旧数据 ResultURL 回退到 FailReason,"Midjourney(ImageUrl/VideoUrl/Buttons),Task(GetResultURL)",model/task.go:129-136 GetResultURL 优先 PrivateData.ResultURL 否则回退 FailReason(历史兼容)；REPO-INSPECTION D5 model/midjourney.go ImageUrl/VideoUrl/Buttons,成功任务返回非空 result_url；新数据从 PrivateData.ResultURL 取、旧数据从 FailReason 取均能展示,仅 SUCCESS 状态任务展示产物；ResultURL 来自 PrivateData(不直接暴露 key 等敏感字段),FC-038
F-2011,扫描超时未完成任务,异步任务中心,system,P1,后台定时任务按 cutoff 扫描,拉取 progress!=100% 且非终态、submit_time 早于 cutoff 的任务批量做超时处理,Task,"model/task.go:292-304 GetTimedOutUnfinishedTasks 条件 progress!=100% AND status NOT IN(FAILURE,SUCCESS) AND submit_time<cutoff",构造一条 submit_time 远早于 cutoff 的 IN_PROGRESS 任务，扫描命中并可被标记超时,超时标记触发退款时必须走 UpdateWithStatus(CAS)，避免覆盖已自然完成的任务状态,FC-030
F-2012,预填分组创建(model/tag/endpoint 三类型),预填分组,admin,P1,管理员 POST /api/prefill_group,校验 name+type 非空且名称不重复后创建预填分组，Items 以 JSON 数组存储,PrefillGroup(Name/Type/Items),"controller/prefill_group.go:24-48 CreatePrefillGroup 校验 Name/Type 非空、IsPrefillGroupNameDuplicated(0,name) 重复检查","空 name 或空 type 返回""组名称和类型不能为空""；同名再次创建返回""组名称已存在""",Name 全局唯一(创建查重 id=0)；仅 AdminAuth 角色可访问 /api/prefill_group(REPO-INSPECTION D6)；Type 取 model/tag/endpoint,FC-039
F-2013,预填分组更新与名称冲突校验,预填分组,admin,P2,管理员 PUT /api/prefill_group,校验存在 id 且新名称不与他组冲突后更新分组内容,PrefillGroup(Id/Name/Items),"controller/prefill_group.go:51-75 UpdatePrefillGroup 校验 Id!=0、IsPrefillGroupNameDuplicated(g.Id,name) 排除自身查重","缺 id 返回""缺少组 ID""；改名为他组已有名称返回""组名称已存在""；改回原名(排除自身)可成功",查重排除自身 id；仅 AdminAuth 可调用,FC-039
