function_id,function,module,roles,priority,trigger,core_result,data_objects,evidence,acceptance_focus,state_exception_permission_rule,source_fc
F-4011,管理/高危操作审计日志记录（type=LogTypeManage，记录 action+params+操作者+IP）,日志与用量,admin,P0,管理员执行渠道/系统设置/兑换码等资源操作时自动埋点,落库一条含 action、英文渲染 content、操作者身份与 client IP 的审计日志,Log,"controller/audit.go recordManageAudit→model.RecordOperationAuditLog;model/log.go RecordOperationAuditLog Type:LogTypeManage(3);auditContentEN 按 auditContentTemplates 渲染",写入记录 Type=3;content 由 action 模板(如 option.update→""Updated system setting ${key}"")渲染;含 admin_id/admin_username/admin_role/auth_method,未登记 action 退回 action 本身;markAuditLogged 避免鉴权链路重复兜底记录,FC-105
F-4012,用户安全敏感操作审计（passkey 绑定/解绑等，无管理员归属）,日志与用量,user,P1,普通用户完成 passkey 注册或删除等安全动作,记录归属该用户、无 admin_info 的安全审计日志,Log,"controller/audit.go recordUserSecurityAudit 调 model.RecordOperationAuditLog(userId, ..., nil, nil);模板含 user.passkey_register/user.passkey_delete",写入记录 adminInfo 为 nil;content 渲染为 ""Registered a passkey""/""Deleted a passkey"";归属操作用户自身 userId,不依赖 AdminAuth/RootAuth 兜底;用户可在自己日志中看到,FC-105
F-4013,登录审计日志记录（type=LogTypeLogin）,日志与用量,user,P1,用户登录成功后系统埋点,落库一条 type=LogTypeLogin 的登录审计日志,Log,"model/log.go RecordLoginLog Type:LogTypeLogin(7) 记录 username/content/ip/action/params/extra",写入记录 Type=7;包含登录 username 与 client IP;按 action/params 结构化存储,与消费/管理日志通过 type 字段区分,FC-105
F-4014,渠道亲和缓存用量统计查询,日志与用量,admin,P2,管理员在亲和缓存监控页查看用量,返回 channel_affinity_usage_cache 的统计数据,ChannelAffinityUsageCache,"api-router.go logRoute.GET(""/channel_affinity_usage_cache"") 挂 AdminAuth() 调 controller.GetChannelAffinityUsageCacheStats",返回亲和缓存用量统计;挂在 logRoute 分组下,AdminAuth() 保护,FC-105
F-4015,系统初始化状态查询（GetSetup，未初始化返回 root 是否存在与数据库类型）,运营与运维,anonymous,P0,首次访问站点前端探测是否需进入初始化向导,返回 setup 状态、root_init、database_type,Setup,"controller/setup.go GetSetup 读 constant.Setup;未初始化时 setup.RootInit=model.RootUserExists();按 common.UsingMySQL/PostgreSQL/SQLite 填 DatabaseType",已初始化返回 status=true 直接结束;未初始化返回 root_init 与 database_type(mysql/postgres/sqlite),GET /api/setup 匿名可访问,FC-106
F-4016,系统初始化提交（PostSetup，创建 root 账号 + 设置自用/演示模式 + 写 setup 记录）,运营与运维,anonymous,P0,管理员在初始化向导提交用户名密码与模式开关,创建 root 用户、持久化模式开关并标记 constant.Setup=true,User;Setup;Option,"controller/setup.go PostSetup 校验 username<=12、password>=8 且两次一致;创建 Role=RoleRootUser、Quota=100000000 用户;写 SelfUseModeEnabled/DemoSiteEnabled 并 Create model.Setup",已初始化返回「系统已经初始化完成」;用户名>12 字符或密码<8 或两次不一致分别报错;成功后 constant.Setup=true,POST /api/setup 带 anonymousRequestBodyLimit;重复初始化被拒,FC-106
F-4017,全站选项列表查询（GetOptions，自动剔除敏感键 + 注入补全倍率元信息）,运营与运维,root,P0,管理员进入系统设置页加载所有配置,返回过滤敏感键后的 option 列表并附加 CompletionRatioMeta,Option,"controller/option.go GetOptions 遍历 common.OptionMap 跳过后缀 Token/Secret/Key/secret/api_key 的键;追加 key=CompletionRatioMeta 的 buildCompletionRatioMetaValue 结果",返回项不含任何以 Token/Secret/Key 结尾的敏感键;额外含 CompletionRatioMeta 项,optionRoute 挂 RootAuth();仅 root 可读全站配置,FC-107
F-4018,全站选项更新（UpdateOption，含逐键合法性校验与依赖检查）,运营与运维,root,P0,管理员在系统设置修改单个配置项,校验通过后落库该选项并记录 option.update 审计,Option;Log,"controller/option.go UpdateOption 对 GitHubOAuthEnabled/discord.enabled/oidc.enabled/theme.frontend/GroupRatio/ImageRatio 等分支校验后 model.UpdateOption;末尾 recordManageAudit(""option.update"",{key})",启用 OAuth 但未填 ClientId 报对应「请先填入...」错误;theme.frontend 非 default/classic 报「无效的主题值」;成功后写审计仅记录 key 不记录 value,optionRoute 挂 RootAuth();合规字段 payment_setting.compliance_ 禁止经此接口改;QuotaForInviter 正值需先确认支付合规,FC-107
F-4019,性能统计查询（缓存/内存/磁盘/GC/Goroutine 与监控阈值配置）,运营与运维,root,P1,管理员打开性能监控面板,返回磁盘缓存、内存、磁盘空间、Goroutine 数与监控配置的聚合统计,PerformanceStats,"controller/performance.go GetPerformanceStats 组装 CacheStats/MemoryStats(Alloc/Sys/NumGC/NumGoroutine)/DiskCacheInfo/DiskSpaceInfo/PerformanceConfig",返回含 num_goroutine、num_gc、disk_space_info.used_percent 与监控 CPU/内存/磁盘阈值;实时读 runtime.ReadMemStats,performanceRoute 挂 RootAuth();仅 root 可见运维指标,FC-108
F-4020,清理不活跃磁盘缓存（删除 10 分钟以上未使用缓存文件）,运营与运维,root,P2,管理员在性能面板点击清理磁盘缓存,删除超过 10 分钟未使用的磁盘缓存文件,DiskCache,"controller/performance.go ClearDiskCache 调 common.CleanupOldDiskCacheFiles(10 * time.Minute)",成功返回「不活跃的磁盘缓存已清理」;10 分钟阈值确保进行中请求不被误删,performanceRoute DELETE /disk_cache 挂 RootAuth(),FC-108
F-4021,强制执行 GC / 重置性能统计计数,运营与运维,root,P2,管理员手动触发垃圾回收或重置统计,执行 runtime.GC() 或重置磁盘缓存统计计数,PerformanceStats,"controller/performance.go ForceGC 调 runtime.GC() 返回「GC 已执行」;ResetPerformanceStats 调 common.ResetDiskCacheStats() 返回「统计信息已重置」",ForceGC 返回「GC 已执行」;ResetPerformanceStats 返回「统计信息已重置」;两者均为幂等运维动作,performanceRoute POST /gc 与 /reset_stats 挂 RootAuth(),FC-108
F-4022,日志文件列表查询（仅 oneapi-*.log，含总大小与最早/最新时间）,运营与运维,root,P2,管理员在日志文件管理页加载文件列表,返回日志目录下日志文件列表、文件数、总大小、最旧/最新时间,LogFile,"controller/performance.go GetLogFiles 调 getLogFiles 仅收 前缀 oneapi- 且后缀 .log 的文件按名降序;LogDir 为空返回 Enabled=false",LogDir 未配置返回 enabled=false;仅列出 oneapi-*.log;返回 file_count/total_size 及 oldest_time/newest_time,performanceRoute GET /logs 挂 RootAuth(),FC-108
F-4023,清理过期日志文件（by_count 保留最新 N 个 / by_days 删早于 N 天，跳过活动日志）,运营与运维,root,P2,管理员选择按数量或天数清理日志文件,删除符合条件的日志文件并返回删除数与释放字节,LogFile,"controller/performance.go CleanupLogFiles mode 必须 by_count/by_days;value 须为正整数;跳过 logger.GetCurrentLogPath() 当前活动日志",mode 非 by_count/by_days 报「invalid mode」;value<1 报「invalid value」;当前活动日志不被删除;部分失败返回 failed_files 并 success=false,performanceRoute DELETE /logs 挂 RootAuth();LogDir 未配置报错,FC-108
F-4024,性能指标汇总查询（公开 summary，按 hours + 活动分组聚合）,运营与运维,anonymous;user,P2,公开模型性能页或控制台请求 perf-metrics/summary,返回近 N 小时各活动分组的性能指标汇总,PerfMetric,"controller/perf_metrics.go GetPerfMetricsSummary hours 默认 24;activeGroups=GetGroupRatioCopy 键 + ""auto"" 调 perfmetrics.QuerySummaryAll;api-router.go perfMetricsRoute 挂 HeaderNavModulePublicOrUserAuth(""pricing"")",hours 默认 24 可经 query 覆盖;仅聚合活动分组 + auto;查询失败返回 500 + message,受 HeaderNavModulePublicOrUserAuth(""pricing"") 控制公开或登录可见,FC-109
F-4025,单模型性能指标查询（按 model 必填 + group + hours，过滤非活动分组）,运营与运维,anonymous;user,P2,前端选定某模型查看其性能曲线,返回该模型按分组的性能指标且仅保留活动分组,PerfMetric,"controller/perf_metrics.go GetPerfMetrics model 为空返回 400「model is required」;调 perfmetrics.Query{Model,Group,Hours};result.Groups=filterActiveGroups",model 为空返回 400;返回 Groups 仅含活动分组或 auto;hours 默认 24,perfMetricsRoute GET 受 pricing 模块鉴权,FC-109
F-4026,Uptime-Kuma 状态接入（并发拉取多组状态页 + 心跳，聚合可用率/状态）,运营与运维,anonymous,P2,前端状态页请求 GET /api/uptime/status,返回各监控组的 monitor 列表（名称/可用率/状态/分组）,UptimeMonitor,"controller/uptime_kuma.go GetUptimeKumaStatus 读 console_setting.GetUptimeKumaGroups();errgroup 并发拉 /api/status-page/{slug} 与 /heartbeat/{slug};uptimeKeySuffix=_24",未配置 groups 返回空数组;按 monitorID 匹配 uptimeList(_24 后缀)与 heartbeatList;单组拉取失败返回该组空 monitors,GET /api/uptime/status 匿名可访问;httpTimeout 10s / requestTimeout 30s,FC-110
F-4027,用户协议公开内容读取,运营与运维,anonymous,P1,公开协议页加载用户协议正文,返回系统配置的用户协议文本,LegalSetting,"controller/misc.go GetUserAgreement 返回 system_setting.GetLegalSettings().UserAgreement",返回 data 为 UserAgreement 文本;未设置时为空字符串,匿名公开可读,FC-111
F-4028,隐私政策公开内容读取,运营与运维,anonymous,P1,公开隐私页加载隐私政策正文,返回系统配置的隐私政策文本,LegalSetting,"controller/misc.go GetPrivacyPolicy 返回 system_setting.GetLegalSettings().PrivacyPolicy",返回 data 为 PrivacyPolicy 文本;未设置时为空,匿名公开可读,FC-111
F-4029,公告/关于/首页内容公开读取,运营与运维,anonymous,P2,前端加载公告栏、关于页、首页自定义内容,分别返回 OptionMap 中 Notice/About/HomePageContent 文本,Option,"controller/misc.go GetNotice 返 OptionMap[""Notice""];GetAbout 返 OptionMap[""About""];GetHomePageContent 返 OptionMap[""HomePageContent""]",三接口分别返回对应 OptionMap 键值;读取时持 OptionMapRWMutex.RLock,匿名公开可读;读锁保证并发一致,FC-111
F-4030,支付合规声明确认（仅会话鉴权，写合规版本/时间/操作者/IP）,运营与运维,root,P0,管理员在合规弹窗勾选确认并提交,落库 5 个 payment_setting.compliance_* 选项并返回确认结果,Option,"controller/payment_compliance.go ConfirmPaymentCompliance 拒绝 access_token;req.Confirmed 必为 true;写 compliance_confirmed/terms_version/confirmed_at/confirmed_by/confirmed_ip",use_access_token 返回 403「requires dashboard session」;confirmed=false 返回「请确认合规声明」;成功写入 5 项并返回 terms_version/confirmed_by,optionRoute POST /payment_compliance 挂 RootAuth();仅会话(非 API token)可确认,FC-112
F-4031,控制台旧设置迁移（ApiInfo/Announcements/FAQ/UptimeKuma 旧键转 console_setting.*）,运营与运维,root,P2,管理员触发旧配置迁移,将旧 option 键转换为 console_setting.* 新结构并删除旧键,Option,"controller/console_migrate.go MigrateConsoleSetting 读 AllOption;ApiInfo/FAQ 截断 50 条转 console_setting.api_info/faq;UptimeKumaUrl+Slug 同时存在才迁为 uptime_kuma_groups;Delete 旧键并 InitOptionMap",ApiInfo/FAQ 超 50 条被截断;仅当 url 与 slug 同时存在才迁移 uptime;旧键 ApiInfo/Announcements/FAQ/UptimeKumaUrl/UptimeKumaSlug 被删并重载 OptionMap,optionRoute POST /migrate_console_setting 挂 RootAuth();标注下个版本删除,FC-113
F-4032,"模型请求限流分组配置（按分组设置 [count,duration] 上限并校验）",运营与运维,root,P1,管理员配置某分组的模型请求速率上限,校验 JSON 后保存分组限流配置,Option,"controller/option.go UpdateOption case ModelRequestRateLimitGroup 调 setting.CheckModelRequestRateLimitGroup;setting/rate_limit.go ModelRequestRateLimitGroup map[string][2]int","非法 JSON 或不合法 [count,duration] 校验失败返回错误;保存后 GetGroupRateLimit 按分组返回限流值",optionRoute 挂 RootAuth(),FC-114
F-4033,敏感词内容过滤配置（启用开关 + 换行分隔词表）,运营与运维,root,P2,管理员在内容安全设置维护敏感词,启用开关与敏感词列表生效于 prompt 检查,SensitiveWords,"setting/sensitive.go CheckSensitiveEnabled、CheckSensitiveOnPromptEnabled、SensitiveWords;SensitiveWordsFromString 按换行拆分;ShouldCheckPromptContent=两开关与运算",换行字符串被拆为词表;ShouldCheckPromptContent 在两开关均为 true 时才返回 true;默认含 test_sensitive,经选项接口由 root 配置,FC-115
F-4034,用户可用分组与自动分组配置（auto_group 列表 + 默认启用开关）,运营与运维,root,P1,管理员配置 auto 分组成员与默认是否启用,保存自动分组列表与 DefaultUseAutoGroup 开关,AutoGroup,"setting/auto_group.go DefaultUseAutoGroup、UpdateAutoGroupsByJsonString、GetAutoGroups、ContainsAutoGroup;misc.go GetStatus 暴露 default_use_auto_group",ContainsAutoGroup 对 auto 分组返回 true;UpdateAutoGroupsByJsonString 解析 JSON 列表;GetStatus 暴露 default_use_auto_group 给前端,经选项接口由 root 配置,FC-116
F-4035,前端主题切换配置（default / classic 二选一，写入即生效）,运营与运维,root,P1,管理员在系统设置切换前端主题,校验主题值合法后保存 theme.frontend,Option,"controller/option.go UpdateOption case ""theme.frontend"" 仅允许 default/classic;misc.go GetStatus 暴露 theme=system_setting.GetThemeSettings().Frontend",theme.frontend 非 default/classic 返回「无效的主题值，可选值：default（新版前端）、classic（经典前端）」;成功后 GetStatus 返回新 theme,optionRoute 挂 RootAuth();前端依 GetStatus.theme 渲染对应主题,FC-117
F-4036,后端多语言解析与切换（zh-CN/zh-TW/en，按用户设置或 Accept-Language）,运营与运维,user;anonymous,P2,请求进入时按上下文确定响应语言,按用户语言设置或 Accept-Language 头返回对应语言文案,UserSetting,"i18n/i18n.go Init 加载 locales/zh-CN.yaml、zh-TW.yaml、en.yaml;GetLangFromContext 先取用户设置再 ParseAcceptLanguage;T/Translate 渲染",已登录用户优先用其 UserSetting 语言;未登录回退 Accept-Language;支持 zh-CN/zh-TW/en,语言来自上下文不可任意伪造;懒加载用户语言,FC-118
F-4037,额度预警通知配置（email/webhook/bark 三渠道 + 预警阈值，正数校验）,运营与运维,user,P1,用户在个人设置选择通知方式并填阈值,保存通知类型、对应渠道参数与额度预警阈值,NotificationSetting,"web/classic/.../NotificationSettings.jsx warningType 单选 email/webhook/bark;warningThreshold 必填且校验正数;webhook 填 webhookUrl+webhookSecret(Bearer);bark 填 barkUrl",warningType=webhook 时 webhookUrl 必填;warningThreshold 非正数报「预警阈值必须为正数」;余额低于阈值时按所选渠道发「您的额度即将用尽」通知,webhookSecret 以 Bearer 加请求头校验合法性,FC-119
F-4038,站内对话试用 Playground（临时令牌走 relay，禁用 access token）,Playground,user,P0,用户在 Playground 选模型发起对话提交 POST /pg/chat/completions,以临时令牌构造 relay 上下文并转发对话请求,Token;User,"controller/playground.go Playground 拒绝 use_access_token;GenRelayInfo(RelayFormatOpenAI);构造 tempToken{Name:playground-<group>,Group:UsingGroup} 经 SetupContextForToken 后调 Relay",use_access_token 返回 ErrorCodeAccessDenied「暂不支持使用 access token」;以 playground-<group> 临时令牌按用户分组计费转发,playgroundRouter /pg 挂 UserAuth()+Distribute()+SystemPerformanceCheck();按用户实际额度计费,FC-120
F-4039,营销首页公开状态聚合（系统名/Logo/页脚/登录方式开关/主题/签到开关等）,公开站点,anonymous,P1,访客打开营销首页前端拉取 GetStatus,返回首页渲染所需的全站公开配置聚合,Option;LegalSetting;ConsoleSetting,"controller/misc.go GetStatus 返回 system_name/logo/footer_html/各 OAuth 开关/theme/checkin_enabled/user_agreement_enabled 等;镜像证据 WEBSITE-COVERAGE §3 页脚「基于 New API」",返回含 system_name、logo、footer_html、register_enabled、checkin_enabled 等;按 ApiInfoEnabled/AnnouncementsEnabled/FAQEnabled 条件注入可选内容,匿名公开可读;敏感配置不在此暴露,FC-121
F-4040,首页对话输入框 Playground 入口（placeholder「问点什么…」导向试用）,公开站点,anonymous;user,P2,访客在首页对话框输入并点「发送」,引导进入 Playground 对话试用,无,"镜像证据 WEBSITE-COVERAGE §4 首页对话输入框 placeholder「问点什么…」(Playground/试用入口候选);后端对应 controller/playground.go Playground",首页对话框展示 placeholder「问点什么…」;发送动作导向 Playground 试用,未登录点击发送应引导登录(Playground 需 UserAuth),FC-122
F-4041,用户协议公开页（/agreement 路由渲染协议正文）,公开站点,anonymous,P1,访客访问 /agreement 页面,展示用户协议正文页,LegalSetting,"镜像证据 WEBSITE-COVERAGE §2 page-0002 /agreement「用户协议」;数据源 controller/misc.go GetUserAgreement;GetStatus.user_agreement_enabled 控制入口",/agreement 渲染 UserAgreement 内容;user_agreement_enabled 为 false 时入口隐藏,匿名公开访问,FC-123
F-4042,隐私政策公开页（/privacy 路由渲染隐私正文）,公开站点,anonymous,P1,访客访问 /privacy 页面,展示隐私政策正文页,LegalSetting,"镜像证据 WEBSITE-COVERAGE §2 page-0003 /privacy「隐私政策」;数据源 controller/misc.go GetPrivacyPolicy;GetStatus.privacy_policy_enabled 控制入口",/privacy 渲染 PrivacyPolicy 内容;privacy_policy_enabled 为 false 时入口隐藏,匿名公开访问,FC-124
F-4043,公开主题/语言切换控件（页面右上「切换主题」「切换语言」）,公开站点,anonymous;user,P2,访客点击页面「切换主题」或「切换语言」,切换前端主题或界面语言,无,"镜像证据 WEBSITE-COVERAGE §4 公开 CTA 含「切换主题」「切换语言」;主题源 GetStatus.theme;语言源 i18n/i18n.go(zh/en 等)",点击切换主题在 default/classic 间切换;切换语言在受支持语言间切换;无需登录,匿名即可切换;主题最终值受 root 配置 theme.frontend 约束,FC-125
F-4044,控制台/模型广场/API Keys 主入口（动态域，证据 GAP）,公开站点,user,P2,访客点击导航「控制台/模型广场/API Keys」跳转 app 子域,跳转至控制台动态域入口,无,"镜像证据 WEBSITE-COVERAGE §4 导航含控制台/模型广场/API Keys;§7 GAP app.routifyapi.com 未访问(SEMANTIC-GAPS SG-001)",导航入口指向 app 动态域;具体页面以 repo 控制台能力为权威;本轮未捕获动态截图,标注为证据 GAP(SG-001);需登录后访问,FC-126
F-4045,Codex 渠道上游用量查询（解析 OAuth key + 401/403 自动刷新 token 重试）,渠道运维,admin,P1,管理员在渠道页查 Codex 渠道用量 GET /channel/:id/codex/usage,返回该 Codex 渠道上游 wham 用量数据,Channel,"controller/codex_usage.go GetCodexChannelUsage 校验 ch.Type==ChannelTypeCodex 且非 IsMultiKey;codex.ParseOAuthKey 取 access_token/account_id;FetchCodexWhamUsage;401/403 且有 refresh_token 时 RefreshCodexOAuthToken 后重试并回写 key",非 Codex 类型返回「channel type is not Codex」;multi-key 渠道返回「multi-key channel is not supported」;access_token/account_id 缺失分别报错;401/403 自动刷新后重试,channelRoute GET /:id/codex/usage 受管理鉴权;刷新成功回写渠道 key 并 InitChannelCache,FC-127
F-4046,生成视频内容网关代理下发（按渠道类型解析 URL + SSRF 校验 + 流式回传，含 Gemini 分支）,Relay,user,P1,用户对已完成视频任务请求 GET /videos/:task_id/content,代理拉取上游视频内容并流式回写给用户,Task;Channel,"controller/video_proxy.go VideoProxy 校验 task 属本人且 Status==TaskStatusSuccess;按 channel.Type 分支(Gemini 用 task.PrivateData.Key+x-goog-api-key、Vertex、OpenAI/Sora 拼 /v1/videos/.../content);ValidateURLWithFetchSetting SSRF 校验后 io.Copy",task 未完成返回当前状态错误;任务不存在/非本人返回 404;视频 URL 经 SSRF 校验未通过返回 403;data: URL 走 base64 解码直出;响应设 Cache-Control max-age=86400,video proxy 路由按用户上下文取 task(GetByTaskId 带 userID);SSRF 防护按 fetchSetting 配置,FC-128
